Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001527786,0.00094986,0.014293671,0,
00:00.0,0.001533508,0.00094986,0.014287949,0,
00:00.0,0.001533508,0.000967026,0.014293671,0,
00:00.0,0.00153923,0.000972748,0.014276505,0,
00:00.0,0.001533508,0.000967026,0.014310837,0,
00:00.0,0.001533508,0.000955582,0.014310837,0,
00:00.0,0.001522064,0.00094986,0.014305115,0,
00:00.0,0.00153923,0.000967026,0.014299393,0,
00:00.0,0.001533508,0.000967026,0.014293671,0,
00:00.0,0.001527786,0.000961304,0.014305115,0,
00:00.0,0.001533508,0.000961304,0.014305115,0,
00:00.0,0.00153923,0.000972748,0.014293671,0,
00:00.0,0.001533508,0.000967026,0.014293671,0,
00:00.1,0.001527786,0.000972748,0.014310837,0,
00:00.1,0.001533508,0.000955582,0.014310837,0,
00:00.1,0.001527786,0.00094986,0.014276505,0,
00:00.1,0.001533508,0.000967026,0.014310837,0,
00:00.1,0.001527786,0.000972748,0.014322281,0,
00:00.1,0.001522064,0.000967026,0.014305115,0,
00:00.1,0.001533508,0.000961304,0.014310837,0,
00:00.1,0.001533508,0.000967026,0.014299393,0,
00:00.1,0.001533508,0.000967026,0.014293671,0,
00:00.1,0.001527786,0.000967026,0.014293671,0,
00:00.1,0.001522064,0.000967026,0.014293671,0,
00:00.1,0.001533508,0.000961304,0.014310837,0,
00:00.1,0.001533508,0.000961304,0.014310837,0,
00:00.1,0.001533508,0.000961304,0.014305115,0,
00:00.1,0.001533508,0.000967026,0.014305115,0,
00:00.1,0.00153923,0.000984192,0.014299393,0,
00:00.1,0.001533508,0.000984192,0.014299393,0,
00:00.1,0.001527786,0.00094986,0.014299393,0,
00:00.1,0.00153923,0.000955582,0.014287949,0,
00:00.1,0.00153923,0.000972748,0.014316559,0,
00:00.1,0.001544952,0.00097847,0.014310837,0,
00:00.1,0.001533508,0.000972748,0.014299393,0,
00:00.1,0.001527786,0.000967026,0.014305115,0,
00:00.1,0.001533508,0.000955582,0.014299393,0,
00:00.1,0.001533508,0.000967026,0.014310837,0,
00:00.2,0.001533508,0.000972748,0.014310837,0,
00:00.2,0.001533508,0.000967026,0.014310837,0,
00:00.2,0.001533508,0.000955582,0.014293671,0,
00:00.2,0.001527786,0.000961304,0.014305115,0,
00:00.2,0.001533508,0.000967026,0.014299393,0,
00:00.2,0.001533508,0.000972748,0.014310837,0,
00:00.2,0.001533508,0.000961304,0.014299393,0,
00:00.2,0.00153923,0.000961304,0.014299393,0,
00:00.2,0.00153923,0.000967026,0.014310837,0,
00:00.2,0.001533508,0.000967026,0.014322281,0,
00:00.2,0.001533508,0.000972748,0.014316559,0,
00:00.2,0.001533508,0.000961304,0.014305115,0,
00:00.2,0.001533508,0.000955582,0.014305115,0,
00:00.2,0.001533508,0.000955582,0.014305115,0,
00:00.2,0.00153923,0.000972748,0.014310837,0,
00:00.2,0.001533508,0.000984192,0.014305115,0,
00:00.2,0.001533508,0.000972748,0.014299393,0,
00:00.2,0.001550674,0.000972748,0.014305115,0,
00:00.2,0.001544952,0.000967026,0.014310837,0,
00:00.2,0.00153923,0.000961304,0.014305115,0,
00:00.2,0.001533508,0.000967026,0.014310837,0,
00:00.2,0.00153923,0.000967026,0.014305115,0,
00:00.2,0.00153923,0.000955582,0.014282227,0,
00:00.2,0.001533508,0.000961304,0.014299393,0,
00:00.2,0.001550674,0.00097847,0.014333725,0,
00:00.3,0.001533508,0.00097847,0.014322281,0,
00:00.3,0.001533508,0.000967026,0.014299393,0,
00:00.3,0.001544952,0.000961304,0.014299393,0,
00:00.3,0.00153923,0.000967026,0.014305115,0,
00:00.3,0.001544952,0.00097847,0.014310837,0,
00:00.3,0.00153923,0.000984192,0.014305115,0,
00:00.3,0.00153923,0.00097847,0.014310837,0,
00:00.3,0.001533508,0.000955582,0.014305115,0,
00:00.3,0.00153923,0.000961304,0.014310837,0,
00:00.3,0.001550674,0.000972748,0.014322281,0,
00:00.3,0.001533508,0.000967026,0.014316559,0,
00:00.3,0.001533508,0.000967026,0.014310837,0,
00:00.3,0.001533508,0.000961304,0.014293671,0,
00:00.3,0.001533508,0.000967026,0.014322281,0,
00:00.3,0.00153923,0.000972748,0.014305115,0,
00:00.3,0.001544952,0.000984192,0.014305115,0,
00:00.3,0.001544952,0.00097847,0.014299393,0,
00:00.3,0.00153923,0.000967026,0.014299393,0,
00:00.3,0.001533508,0.000961304,0.014322281,0,
00:00.3,0.00153923,0.00097847,0.014316559,0,
00:00.3,0.00153923,0.00097847,0.014310837,0,
00:00.3,0.001544952,0.00097847,0.014310837,0,
00:00.3,0.001533508,0.000972748,0.014310837,0,
00:00.3,0.001533508,0.000972748,0.014305115,0,
00:00.3,0.001544952,0.00097847,0.014322281,0,
00:00.4,0.001544952,0.00097847,0.014316559,0,
00:00.4,0.001533508,0.000961304,0.014305115,0,
00:00.4,0.001544952,0.000967026,0.014305115,0,
00:00.4,0.001544952,0.000972748,0.014322281,0,
00:00.4,0.00153923,0.00097847,0.014328003,0,
00:00.4,0.001533508,0.00097847,0.014316559,0,
00:00.4,0.001544952,0.000972748,0.014316559,0,
00:00.4,0.00153923,0.000967026,0.014310837,0,
00:00.4,0.00153923,0.000967026,0.014316559,0,
00:00.4,0.001544952,0.00097847,0.014310837,0,
00:00.4,0.001544952,0.000984192,0.014299393,0,
00:00.4,0.00153923,0.000972748,0.014310837,0,
00:00.4,0.001533508,0.000961304,0.014305115,0,
00:00.4,0.001550674,0.000967026,0.014316559,0,
00:00.4,0.001550674,0.000972748,0.014328003,0,
00:00.4,0.001544952,0.000972748,0.014333725,0,
00:00.4,0.00153923,0.000967026,0.014310837,0,
00:00.4,0.00153923,0.000972748,0.014305115,0,
00:00.4,0.001533508,0.000967026,0.014322281,0,
00:00.4,0.001556396,0.000989914,0.014316559,0,
00:00.4,0.001550674,0.000984192,0.014316559,0,
00:00.4,0.001544952,0.000972748,0.014322281,0,
00:00.4,0.001544952,0.000967026,0.014322281,0,
00:00.4,0.00153923,0.000967026,0.014316559,0,
00:00.4,0.001544952,0.00097847,0.014310837,0,
00:00.5,0.001544952,0.000972748,0.014316559,0,
00:00.5,0.001550674,0.000972748,0.014316559,0,
00:00.5,0.001550674,0.00097847,0.014316559,0,
00:00.5,0.001544952,0.000967026,0.014310837,0,
00:00.5,0.00153923,0.000967026,0.014299393,0,
00:00.5,0.001544952,0.00097847,0.014310837,0,
00:00.5,0.001544952,0.000972748,0.014339447,0,
00:00.5,0.00153923,0.000961304,0.014333725,0,
00:00.5,0.001544952,0.000967026,0.014316559,0,
00:00.5,0.001550674,0.00097847,0.014322281,0,
00:00.5,0.001544952,0.00097847,0.014316559,0,
00:00.5,0.001527786,0.000967026,0.014310837,0,
00:00.5,0.001533508,0.000967026,0.014310837,0,
00:00.5,0.001556396,0.000967026,0.014316559,0,
00:00.5,0.001556396,0.00097847,0.014316559,0,
00:00.5,0.001550674,0.000984192,0.014305115,0,
00:00.5,0.001544952,0.000972748,0.014305115,0,
00:00.5,0.001550674,0.000961304,0.014322281,0,
00:00.5,0.001556396,0.00097847,0.014328003,0,
00:00.5,0.001550674,0.00097847,0.014328003,0,
00:00.5,0.001550674,0.00097847,0.014316559,0,
00:00.5,0.001550674,0.00097847,0.014305115,0,
00:00.5,0.001550674,0.000972748,0.014322281,0,
00:00.5,0.001550674,0.000967026,0.014339447,0,
00:00.5,0.001550674,0.000972748,0.014339447,0,
00:00.6,0.001550674,0.00097847,0.014328003,0,
00:00.6,0.001544952,0.000972748,0.014316559,0,
00:00.6,0.001544952,0.000967026,0.014316559,0,
00:00.6,0.001544952,0.000972748,0.014322281,0,
00:00.6,0.001550674,0.000972748,0.014310837,0,
00:00.6,0.001544952,0.00097847,0.014299393,0,
00:00.6,0.001544952,0.000972748,0.014328003,0,
00:00.6,0.001544952,0.000961304,0.014322281,0,
00:00.6,0.001544952,0.000972748,0.014316559,0,
00:00.6,0.00153923,0.000989914,0.014322281,0,
00:00.6,0.001544952,0.000984192,0.014333725,0,
00:00.6,0.001544952,0.00097847,0.014328003,0,
00:00.6,0.001556396,0.000967026,0.014328003,0,
00:00.6,0.001550674,0.000967026,0.014328003,0,
00:00.6,0.001550674,0.000984192,0.014322281,0,
00:00.6,0.001544952,0.00097847,0.014328003,0,
00:00.6,0.001544952,0.000972748,0.014322281,0,
00:00.6,0.001550674,0.000967026,0.014333725,0,
00:00.6,0.001550674,0.000972748,0.014328003,0,
00:00.6,0.001550674,0.000984192,0.014316559,0,
00:00.6,0.001544952,0.000984192,0.014316559,0,
00:00.6,0.001544952,0.000967026,0.014316559,0,
00:00.6,0.001550674,0.000967026,0.014322281,0,
00:00.6,0.001556396,0.000972748,0.014328003,0,
00:00.6,0.001550674,0.00097847,0.014328003,0,
00:00.7,0.001556396,0.000989914,0.014322281,0,
00:00.7,0.001556396,0.000984192,0.014328003,0,
00:00.7,0.00153923,0.000961304,0.014316559,0,
00:00.7,0.001550674,0.000972748,0.014322281,0,
00:00.7,0.001544952,0.000984192,0.014328003,0,
00:00.7,0.001544952,0.000989914,0.014339447,0,
00:00.7,0.001556396,0.000972748,0.014328003,0,
00:00.7,0.001550674,0.000961304,0.014322281,0,
00:00.7,0.00153923,0.000961304,0.014310837,0,
00:00.7,0.001544952,0.000984192,0.014328003,0,
00:00.7,0.001562119,0.000995636,0.014316559,0,
00:00.7,0.001550674,0.00097847,0.014328003,0,
00:00.7,0.001550674,0.000972748,0.014322281,0,
00:00.7,0.001556396,0.00097847,0.014316559,0,
00:00.7,0.001550674,0.00097847,0.014316559,0,
00:00.7,0.001556396,0.000984192,0.014339447,0,
00:00.7,0.001556396,0.00097847,0.014328003,0,
00:00.7,0.001556396,0.000972748,0.014316559,0,
