Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000749588,0.003650665,0.016880035,0,
00:00.0,0.000749588,0.003639221,0.016880035,0,
00:00.0,0.000749588,0.003639221,0.016880035,0,
00:00.0,0.00075531,0.003644943,0.016880035,0,
00:00.0,0.00075531,0.003650665,0.016880035,0,
00:00.0,0.00075531,0.003650665,0.016880035,0,
00:00.0,0.000749588,0.003639221,0.016880035,0,
00:00.0,0.00075531,0.003627777,0.016885757,0,
00:00.0,0.00075531,0.003639221,0.016885757,0,
00:00.0,0.00075531,0.003650665,0.016891479,0,
00:00.0,0.00075531,0.003656387,0.016885757,0,
00:00.0,0.00075531,0.003639221,0.016885757,0,
00:00.0,0.00075531,0.003633499,0.016885757,0,
00:00.1,0.00075531,0.003633499,0.016891479,0,
00:00.1,0.00075531,0.003650665,0.016891479,0,
00:00.1,0.00075531,0.003656387,0.016897202,0,
00:00.1,0.00075531,0.003633499,0.016897202,0,
00:00.1,0.00075531,0.003627777,0.016897202,0,
00:00.1,0.000761032,0.003639221,0.016897202,0,
00:00.1,0.00075531,0.003639221,0.016897202,0,
00:00.1,0.00075531,0.003633499,0.016897202,0,
00:00.1,0.00075531,0.003644943,0.016897202,0,
00:00.1,0.000761032,0.003650665,0.016902924,0,
00:00.1,0.000761032,0.003656387,0.016908646,0,
00:00.1,0.00075531,0.003656387,0.016902924,0,
00:00.1,0.00075531,0.003650665,0.016902924,0,
00:00.1,0.00075531,0.003644943,0.016902924,0,
00:00.1,0.00075531,0.003633499,0.016908646,0,
00:00.1,0.00075531,0.003633499,0.016914368,0,
00:00.1,0.00075531,0.003650665,0.016914368,0,
00:00.1,0.00075531,0.003662109,0.016914368,0,
00:00.1,0.00075531,0.003650665,0.016914368,0,
00:00.1,0.00075531,0.003639221,0.01692009,0,
00:00.1,0.00075531,0.003650665,0.01692009,0,
00:00.1,0.00075531,0.003656387,0.01692009,0,
00:00.1,0.00075531,0.003650665,0.016925812,0,
00:00.1,0.00075531,0.003639221,0.016925812,0,
00:00.1,0.000761032,0.003633499,0.016925812,0,
00:00.2,0.000761032,0.003644943,0.016925812,0,
00:00.2,0.000761032,0.003667831,0.016925812,0,
00:00.2,0.000761032,0.003656387,0.016925812,0,
00:00.2,0.000761032,0.003639221,0.016925812,0,
00:00.2,0.000761032,0.003627777,0.016931534,0,
00:00.2,0.000761032,0.003650665,0.016931534,0,
00:00.2,0.000761032,0.003662109,0.016931534,0,
00:00.2,0.000761032,0.003656387,0.016931534,0,
00:00.2,0.000761032,0.003650665,0.016937256,0,
00:00.2,0.000766754,0.003644943,0.016937256,0,
00:00.2,0.000766754,0.003644943,0.016942978,0,
00:00.2,0.000766754,0.003650665,0.016942978,0,
00:00.2,0.000766754,0.003650665,0.016942978,0,
00:00.2,0.000766754,0.003639221,0.016942978,0,
00:00.2,0.000766754,0.003633499,0.016942978,0,
00:00.2,0.000766754,0.003639221,0.016942978,0,
00:00.2,0.000766754,0.003656387,0.0169487,0,
00:00.2,0.000766754,0.003662109,0.0169487,0,
00:00.2,0.000761032,0.003644943,0.0169487,0,
00:00.2,0.000761032,0.003633499,0.0169487,0,
00:00.2,0.000761032,0.003644943,0.0169487,0,
00:00.2,0.000761032,0.003650665,0.0169487,0,
00:00.2,0.000761032,0.003644943,0.0169487,0,
00:00.2,0.000761032,0.003644943,0.016954422,0,
00:00.2,0.000761032,0.003650665,0.016954422,0,
00:00.3,0.000761032,0.003656387,0.016954422,0,
00:00.3,0.000761032,0.003662109,0.016954422,0,
00:00.3,0.000761032,0.003650665,0.016954422,0,
00:00.3,0.000761032,0.003633499,0.016954422,0,
00:00.3,0.000761032,0.003633499,0.016954422,0,
00:00.3,0.000761032,0.003639221,0.016960144,0,
00:00.3,0.00075531,0.003650665,0.016960144,0,
00:00.3,0.000761032,0.003656387,0.016960144,0,
00:00.3,0.000761032,0.003644943,0.016960144,0,
00:00.3,0.00075531,0.003627777,0.016960144,0,
00:00.3,0.000761032,0.003644943,0.016965866,0,
00:00.3,0.000761032,0.003656387,0.016965866,0,
00:00.3,0.000761032,0.003644943,0.016965866,0,
00:00.3,0.000761032,0.003633499,0.016965866,0,
00:00.3,0.000761032,0.003639221,0.016971588,0,
00:00.3,0.000761032,0.003644943,0.01697731,0,
00:00.3,0.000761032,0.003650665,0.01697731,0,
00:00.3,0.000761032,0.003644943,0.01697731,0,
00:00.3,0.000761032,0.003627777,0.01697731,0,
00:00.3,0.000766754,0.003627777,0.01697731,0,
00:00.3,0.000761032,0.003639221,0.01697731,0,
00:00.3,0.000761032,0.003644943,0.01697731,0,
00:00.3,0.000761032,0.003644943,0.01697731,0,
00:00.3,0.000761032,0.003633499,0.016983032,0,
00:00.3,0.000761032,0.003627777,0.016983032,0,
00:00.4,0.000766754,0.003639221,0.016983032,0,
00:00.4,0.000761032,0.003644943,0.016988754,0,
00:00.4,0.000766754,0.003644943,0.016988754,0,
00:00.4,0.000766754,0.003633499,0.016994476,0,
00:00.4,0.000766754,0.003622055,0.016994476,0,
00:00.4,0.000766754,0.003639221,0.016994476,0,
00:00.4,0.000772476,0.003644943,0.016994476,0,
00:00.4,0.000766754,0.003639221,0.016994476,0,
00:00.4,0.000766754,0.003633499,0.017000198,0,
00:00.4,0.000766754,0.003627777,0.017000198,0,
00:00.4,0.000766754,0.003627777,0.017000198,0,
00:00.4,0.000766754,0.003639221,0.01700592,0,
00:00.4,0.000772476,0.003639221,0.01700592,0,
00:00.4,0.000766754,0.003633499,0.01700592,0,
00:00.4,0.000772476,0.003627777,0.017011642,0,
00:00.4,0.000772476,0.003633499,0.017011642,0,
00:00.4,0.000766754,0.003639221,0.017011642,0,
00:00.4,0.000772476,0.003644943,0.017017365,0,
00:00.4,0.000772476,0.003633499,0.017017365,0,
00:00.4,0.000772476,0.003622055,0.017017365,0,
00:00.4,0.000772476,0.003627777,0.017017365,0,
