Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001579285,0.00053215,0.013126373,0,
00:00.0,0.001562119,0.00050354,0.013154984,0,
00:00.0,0.001447678,0.000480652,0.013217926,0,
00:00.0,0.001504898,0.00050354,0.013217926,0,
00:00.0,0.001625061,0.00050354,0.013057709,0,
00:00.0,0.001625061,0.00053215,0.013086319,0,
00:00.0,0.001567841,0.000543594,0.013120651,0,
00:00.0,0.00148201,0.000509262,0.013154984,0,
00:00.0,0.001562119,0.000514984,0.013126373,0,
00:00.0,0.001476288,0.000520706,0.013137817,0,
00:00.0,0.001579285,0.000514984,0.013120651,0,
00:00.0,0.001607895,0.00050354,0.013137817,0,
00:00.0,0.001596451,0.000497818,0.013086319,0,
00:00.1,0.001590729,0.00050354,0.013092041,0,
00:00.1,0.001590729,0.000509262,0.013120651,0,
00:00.1,0.001567841,0.000526428,0.013132095,0,
00:00.1,0.001567841,0.000480652,0.013126373,0,
00:00.1,0.001585007,0.000514984,0.013120651,0,
00:00.1,0.001573563,0.000537872,0.013120651,0,
00:00.1,0.001567841,0.000509262,0.013120651,0,
00:00.1,0.001556396,0.000497818,0.013137817,0,
00:00.1,0.001464844,0.000492096,0.013206482,0,
00:00.1,0.001459122,0.000497818,0.013212204,0,
00:00.1,0.001619339,0.000526428,0.013086319,0,
00:00.1,0.001585007,0.000497818,0.013092041,0,
00:00.1,0.001499176,0.000492096,0.01317215,0,
00:00.1,0.001544952,0.000520706,0.013160706,0,
00:00.1,0.001447678,0.00050354,0.013166428,0,
00:00.1,0.001602173,0.000497818,0.013092041,0,
00:00.1,0.001607895,0.000509262,0.013114929,0,
00:00.1,0.001630783,0.000492096,0.013086319,0,
00:00.1,0.001596451,0.00050354,0.013120651,0,
00:00.1,0.001562119,0.000520706,0.013114929,0,
00:00.1,0.001562119,0.00050354,0.013126373,0,
00:00.1,0.001567841,0.000486374,0.013149261,0,
00:00.1,0.001567841,0.000492096,0.013132095,0,
00:00.1,0.001579285,0.00047493,0.013120651,0,
00:00.1,0.001567841,0.000497818,0.013132095,0,
00:00.2,0.001573563,0.000509262,0.013137817,0,
00:00.2,0.001550674,0.000509262,0.013160706,0,
00:00.2,0.001527786,0.000497818,0.013183594,0,
00:00.2,0.001487732,0.00047493,0.01320076,0,
00:00.2,0.001533508,0.00050354,0.013166428,0,
00:00.2,0.001596451,0.000509262,0.013120651,0,
00:00.2,0.001567841,0.000480652,0.013109207,0,
00:00.2,0.001579285,0.000480652,0.013120651,0,
00:00.2,0.001607895,0.000514984,0.013137817,0,
00:00.2,0.001573563,0.00050354,0.013149261,0,
00:00.2,0.001613617,0.000509262,0.013114929,0,
00:00.2,0.001590729,0.000497818,0.013137817,0,
00:00.2,0.00151062,0.000486374,0.013154984,0,
00:00.2,0.001602173,0.000486374,0.013177872,0,
00:00.2,0.001573563,0.000492096,0.013114929,0,
00:00.2,0.001619339,0.000514984,0.01317215,0,
00:00.2,0.001596451,0.000543594,0.013126373,0,
00:00.2,0.001607895,0.000492096,0.013132095,0,
00:00.2,0.001596451,0.000463486,0.013166428,0,
00:00.2,0.001562119,0.00047493,0.013132095,0,
00:00.2,0.001613617,0.000520706,0.013126373,0,
00:00.2,0.001579285,0.000509262,0.013154984,0,
00:00.2,0.001573563,0.00047493,0.013183594,0,
00:00.2,0.001567841,0.00047493,0.013126373,0,
00:00.2,0.001573563,0.000492096,0.013166428,0,
