Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.00176239,0.001121521,0.014745712,0,
00:00.0,0.001785278,0.001144409,0.014785767,0,
00:00.0,0.001791,0.001173019,0.014762878,0,
00:00.0,0.001773834,0.001144409,0.014762878,0,
00:00.0,0.00176239,0.001127243,0.0147686,0,
00:00.0,0.001773834,0.001144409,0.014745712,0,
00:00.0,0.001785278,0.001161575,0.014751434,0,
00:00.0,0.001773834,0.001121521,0.014762878,0,
00:00.0,0.00176239,0.001115799,0.0147686,0,
00:00.0,0.00176239,0.001138687,0.0147686,0,
00:00.0,0.00176239,0.001132965,0.014757156,0,
00:00.0,0.00176239,0.001127243,0.014762878,0,
00:00.0,0.001779556,0.001138687,0.014751434,0,
00:00.1,0.001773834,0.001144409,0.01473999,0,
00:00.1,0.001779556,0.001155853,0.0147686,0,
00:00.1,0.001768112,0.001132965,0.014751434,0,
00:00.1,0.001768112,0.001127243,0.01473999,0,
00:00.1,0.00176239,0.001121521,0.014751434,0,
00:00.1,0.001773834,0.001144409,0.014757156,0,
00:00.1,0.001791,0.001167297,0.014751434,0,
00:00.1,0.001773834,0.001138687,0.014751434,0,
00:00.1,0.00176239,0.001115799,0.01473999,0,
00:00.1,0.001785278,0.001150131,0.014745712,0,
00:00.1,0.001785278,0.001150131,0.014762878,0,
00:00.1,0.001768112,0.001144409,0.014751434,0,
00:00.1,0.001773834,0.001144409,0.014757156,0,
00:00.1,0.001773834,0.001121521,0.014751434,0,
00:00.1,0.001773834,0.001132965,0.014751434,0,
00:00.1,0.001779556,0.001155853,0.014757156,0,
00:00.1,0.001779556,0.001161575,0.014734268,0,
00:00.1,0.001779556,0.001132965,0.014751434,0,
00:00.1,0.001785278,0.001138687,0.01473999,0,
00:00.1,0.001768112,0.001115799,0.014745712,0,
00:00.1,0.001773834,0.001121521,0.014774323,0,
00:00.1,0.001779556,0.001155853,0.014762878,0,
00:00.1,0.001773834,0.001127243,0.014745712,0,
00:00.1,0.001785278,0.001132965,0.014745712,0,
00:00.1,0.001768112,0.001121521,0.01473999,0,
00:00.2,0.001773834,0.001144409,0.014757156,0,
00:00.2,0.001785278,0.001150131,0.014751434,0,
00:00.2,0.001773834,0.001150131,0.014734268,0,
00:00.2,0.001773834,0.001144409,0.014734268,0,
00:00.2,0.001796722,0.001132965,0.014780045,0,
00:00.2,0.001779556,0.001121521,0.014757156,0,
00:00.2,0.001779556,0.001121521,0.014728546,0,
00:00.2,0.001796722,0.001150131,0.014745712,0,
00:00.2,0.001785278,0.001144409,0.014751434,0,
00:00.2,0.001796722,0.001132965,0.014745712,0,
