Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.001487732,0.000635147,0.01292038,0,
00:00.0,0.001464844,0.000612259,0.012914658,0,
00:00.0,0.001459122,0.000617981,0.012903214,0,
00:00.0,0.001459122,0.000617981,0.012914658,0,
00:00.0,0.001441956,0.000623703,0.012897491,0,
00:00.0,0.001459122,0.000646591,0.012914658,0,
00:00.0,0.001544952,0.000652313,0.012931824,0,
00:00.0,0.001550674,0.000623703,0.012874603,0,
00:00.0,0.001499176,0.000600815,0.012908936,0,
00:00.0,0.001470566,0.000617981,0.012908936,0,
00:00.0,0.001504898,0.000646591,0.012891769,0,
00:00.0,0.001430511,0.000629425,0.012926102,0,
00:00.0,0.001430511,0.000606537,0.0129776,0,
00:00.1,0.001533508,0.000617981,0.012943268,0,
00:00.1,0.0014534,0.000612259,0.012983322,0,
00:00.1,0.001487732,0.000612259,0.012903214,0,
00:00.1,0.001504898,0.000629425,0.01292038,0,
00:00.1,0.001533508,0.000629425,0.012903214,0,
00:00.1,0.001499176,0.000617981,0.01294899,0,
00:00.1,0.001527786,0.000612259,0.012937546,0,
00:00.1,0.001522064,0.000623703,0.012926102,0,
00:00.1,0.00153923,0.000623703,0.01292038,0,
00:00.1,0.001470566,0.000612259,0.012960434,0,
00:00.1,0.001499176,0.000617981,0.012966156,0,
00:00.1,0.001516342,0.000635147,0.012960434,0,
00:00.1,0.001550674,0.000635147,0.012971878,0,
00:00.1,0.001527786,0.000606537,0.0129776,0,
00:00.1,0.001396179,0.000589371,0.013029099,0,
00:00.1,0.001499176,0.000606537,0.012983322,0,
00:00.1,0.001590729,0.000623703,0.012897491,0,
00:00.1,0.00151062,0.000617981,0.012943268,0,
00:00.1,0.001476288,0.000617981,0.013011932,0,
00:00.1,0.001556396,0.000623703,0.012943268,0,
00:00.1,0.001579285,0.000612259,0.012954712,0,
00:00.1,0.001562119,0.000617981,0.0129776,0,
00:00.1,0.001544952,0.000623703,0.012989044,0,
00:00.1,0.001516342,0.000640869,0.012989044,0,
00:00.1,0.001550674,0.000635147,0.0129776,0,
00:00.2,0.001527786,0.000635147,0.012989044,0,
00:00.2,0.001550674,0.000612259,0.013017654,0,
00:00.2,0.001516342,0.000595093,0.013011932,0,
00:00.2,0.001533508,0.000600815,0.012954712,0,
00:00.2,0.001527786,0.000600815,0.012989044,0,
00:00.2,0.001516342,0.000612259,0.013023376,0,
00:00.2,0.001619339,0.000640869,0.012983322,0,
00:00.2,0.001567841,0.000635147,0.012983322,0,
00:00.2,0.001550674,0.000617981,0.013000488,0,
00:00.2,0.001550674,0.000606537,0.013017654,0,
00:00.2,0.00151062,0.000606537,0.013057709,0,
00:00.2,0.001567841,0.000623703,0.013017654,0,
00:00.2,0.001556396,0.000635147,0.013017654,0,
00:00.2,0.001607895,0.000635147,0.012966156,0,
00:00.2,0.001585007,0.000595093,0.013000488,0,
00:00.2,0.001522064,0.000606537,0.013029099,0,
00:00.2,0.001562119,0.000612259,0.013046265,0,
00:00.2,0.001556396,0.000623703,0.01300621,0,
00:00.2,0.00153923,0.000629425,0.013034821,0,
00:00.2,0.001579285,0.000612259,0.012989044,0,
00:00.2,0.001585007,0.000606537,0.013023376,0,
00:00.2,0.001613617,0.000623703,0.013046265,0,
00:00.2,0.001590729,0.000629425,0.013051987,0,
00:00.2,0.001533508,0.000612259,0.013080597,0,
00:00.2,0.001544952,0.000617981,0.013034821,0,
00:00.3,0.001596451,0.000623703,0.012994766,0,
00:00.3,0.00153923,0.000623703,0.013029099,0,
00:00.3,0.001556396,0.000606537,0.013080597,0,
00:00.3,0.001573563,0.000635147,0.013023376,0,
00:00.3,0.001613617,0.000629425,0.013040543,0,
00:00.3,0.001619339,0.000617981,0.013017654,0,
00:00.3,0.001585007,0.000629425,0.013023376,0,
00:00.3,0.001613617,0.000635147,0.013034821,0,
00:00.3,0.001579285,0.000640869,0.013040543,0,
00:00.3,0.001573563,0.000623703,0.013097763,0,
00:00.3,0.001607895,0.000623703,0.013046265,0,
00:00.3,0.001647949,0.000629425,0.013029099,0,
00:00.3,0.001602173,0.000617981,0.013097763,0,
00:00.3,0.001596451,0.000623703,0.013040543,0,
00:00.3,0.001585007,0.000606537,0.013017654,0,
00:00.3,0.001567841,0.000623703,0.013034821,0,
00:00.3,0.001630783,0.000629425,0.013029099,0,
00:00.3,0.001579285,0.000617981,0.013097763,0,
00:00.3,0.001625061,0.000640869,0.013017654,0,
00:00.3,0.001636505,0.000640869,0.013000488,0,
00:00.3,0.001607895,0.000617981,0.013051987,0,
