Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-1.14E-05,0.000909805,0.014356613,0,
00:00.0,-1.72E-05,0.000892639,0.014379501,0,
00:00.0,-1.72E-05,0.000881195,0.014390945,0,
00:00.0,-2.29E-05,0.000869751,0.014373779,0,
00:00.0,-2.29E-05,0.000892639,0.014368057,0,
00:00.0,-1.14E-05,0.000909805,0.014373779,0,
00:00.0,-5.72E-06,0.000898361,0.014350891,0,
00:00.0,-1.14E-05,0.000892639,0.014362335,0,
00:00.0,-1.72E-05,0.000909805,0.014379501,0,
00:00.0,-1.72E-05,0.000886917,0.014356613,0,
00:00.0,-1.14E-05,0.000881195,0.014362335,0,
00:00.0,-1.14E-05,0.000898361,0.014350891,0,
00:00.0,-1.14E-05,0.000898361,0.014350891,0,
00:00.1,-1.14E-05,0.000909805,0.014373779,0,
00:00.1,-1.72E-05,0.000904083,0.014373779,0,
00:00.1,-2.86E-05,0.000904083,0.014379501,0,
00:00.1,-1.72E-05,0.000898361,0.014368057,0,
00:00.1,-1.72E-05,0.000886917,0.014368057,0,
00:00.1,-1.14E-05,0.000909805,0.014368057,0,
00:00.1,-1.14E-05,0.000898361,0.014362335,0,
00:00.1,-2.29E-05,0.000886917,0.014373779,0,
00:00.1,-1.14E-05,0.000909805,0.014362335,0,
00:00.1,-1.14E-05,0.000909805,0.014362335,0,
00:00.1,-1.72E-05,0.000904083,0.014362335,0,
00:00.1,-2.29E-05,0.000898361,0.014368057,0,
00:00.1,-1.72E-05,0.000898361,0.014368057,0,
00:00.1,-1.14E-05,0.000904083,0.014356613,0,
00:00.1,-5.72E-06,0.000904083,0.014345169,0,
00:00.1,-1.14E-05,0.000892639,0.014356613,0,
00:00.1,-1.72E-05,0.000904083,0.01440239,0,
00:00.1,-1.72E-05,0.000898361,0.014373779,0,
00:00.1,-2.29E-05,0.000881195,0.014373779,0,
00:00.1,-2.29E-05,0.000886917,0.014356613,0,
