Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000314713,-0.001213074,0.01426506,0,
00:00.0,0.000331879,-0.001207352,0.014247894,0,
00:00.0,0.000314713,-0.001213074,0.01423645,0,
00:00.0,0.00030899,-0.001207352,0.014253616,0,
00:00.0,0.000314713,-0.001207352,0.014259338,0,
00:00.0,0.000291824,-0.001207352,0.014247894,0,
00:00.0,0.000303268,-0.00120163,0.01426506,0,
00:00.0,0.000320435,-0.001213074,0.014270782,0,
00:00.0,0.000326157,-0.001213074,0.014270782,0,
00:00.0,0.000320435,-0.001218796,0.014259338,0,
00:00.0,0.000303268,-0.001241684,0.014276505,0,
00:00.0,0.000326157,-0.00123024,0.014287949,0,
00:00.0,0.000326157,-0.001224518,0.014253616,0,
00:00.1,0.000320435,-0.001213074,0.014253616,0,
00:00.1,0.000320435,-0.001213074,0.014322281,0,
00:00.1,0.000320435,-0.001218796,0.014310837,0,
00:00.1,0.000320435,-0.001218796,0.014293671,0,
00:00.1,0.000314713,-0.001235962,0.014322281,0,
00:00.1,0.000320435,-0.001241684,0.014310837,0,
00:00.1,0.000314713,-0.001241684,0.014316559,0,
00:00.1,0.000326157,-0.001224518,0.014310837,0,
00:00.1,0.000320435,-0.00123024,0.014310837,0,
00:00.1,0.000314713,-0.001224518,0.014322281,0,
00:00.1,0.000314713,-0.00123024,0.014316559,0,
00:00.1,0.000320435,-0.001235962,0.014322281,0,
00:00.1,0.000314713,-0.001241684,0.014333725,0,
00:00.1,0.000314713,-0.001253128,0.014328003,0,
00:00.1,0.00030899,-0.001270294,0.014328003,0,
00:00.1,0.00030899,-0.001276016,0.014333725,0,
00:00.1,0.000326157,-0.001224518,0.014333725,0,
00:00.1,0.000331879,-0.001207352,0.014316559,0,
00:00.1,0.000326157,-0.001224518,0.014310837,0,
00:00.1,0.000320435,-0.001253128,0.014362335,0,
00:00.1,0.000320435,-0.001270294,0.014350891,0,
00:00.1,0.000320435,-0.00125885,0.014373779,0,
00:00.1,0.000314713,-0.001247406,0.014350891,0,
00:00.1,0.000320435,-0.001247406,0.014333725,0,
00:00.1,0.000320435,-0.00125885,0.014373779,0,
00:00.2,0.000331879,-0.001247406,0.014373779,0,
00:00.2,0.000331879,-0.001241684,0.014373779,0,
00:00.2,0.000337601,-0.001247406,0.014362335,0,
00:00.2,0.000326157,-0.001253128,0.014362335,0,
00:00.2,0.000314713,-0.001276016,0.014379501,0,
00:00.2,0.000320435,-0.001270294,0.014385223,0,
00:00.2,0.000326157,-0.00125885,0.014408112,0,
00:00.2,0.000314713,-0.001253128,0.014408112,0,
00:00.2,0.000314713,-0.00125885,0.014396667,0,
00:00.2,0.000337601,-0.001264572,0.014396667,0,
00:00.2,0.000337601,-0.001270294,0.014408112,0,
00:00.2,0.000337601,-0.001264572,0.014408112,0,
00:00.2,0.000326157,-0.001270294,0.01440239,0,
00:00.2,0.000326157,-0.001270294,0.014390945,0,
00:00.2,0.000326157,-0.00128746,0.014419556,0,
00:00.2,0.000320435,-0.001293182,0.014425278,0,
00:00.2,0.000337601,-0.001270294,0.014425278,0,
00:00.2,0.000360489,-0.001264572,0.014419556,0,
00:00.2,0.000337601,-0.001270294,0.01440239,0,
00:00.2,0.000326157,-0.001264572,0.01440239,0,
00:00.2,0.000326157,-0.001270294,0.014413834,0,
00:00.2,0.000331879,-0.001281738,0.014425278,0,
00:00.2,0.000314713,-0.001298904,0.01445961,0,
00:00.2,0.000320435,-0.001293182,0.014442444,0,
00:00.2,0.000331879,-0.001293182,0.014465332,0,
00:00.3,0.000337601,-0.001276016,0.014471054,0,
00:00.3,0.000337601,-0.001281738,0.014453888,0,
00:00.3,0.000337601,-0.00128746,0.014465332,0,
00:00.3,0.000326157,-0.001304626,0.014453888,0,
00:00.3,0.000331879,-0.001298904,0.014453888,0,
00:00.3,0.000343323,-0.00128746,0.014442444,0,
00:00.3,0.000343323,-0.001298904,0.014476776,0,
00:00.3,0.000337601,-0.001298904,0.014476776,0,
00:00.3,0.000326157,-0.001304626,0.014476776,0,
00:00.3,0.000326157,-0.001316071,0.014471054,0,
00:00.3,0.000337601,-0.001293182,0.014465332,0,
00:00.3,0.000331879,-0.00128746,0.014482498,0,
00:00.3,0.000343323,-0.001293182,0.014482498,0,
00:00.3,0.000343323,-0.001293182,0.014471054,0,
00:00.3,0.000343323,-0.001293182,0.014476776,0,
00:00.3,0.000337601,-0.001304626,0.014471054,0,
00:00.3,0.000337601,-0.001310349,0.014499664,0,
00:00.3,0.000337601,-0.001321793,0.014482498,0,
00:00.3,0.000343323,-0.001310349,0.014448166,0,
00:00.3,0.000331879,-0.001304626,0.014493942,0,
00:00.3,0.000343323,-0.001298904,0.01451683,0,
00:00.3,0.000326157,-0.001316071,0.014528275,0,
00:00.3,0.000337601,-0.001316071,0.01451683,0,
00:00.3,0.000354767,-0.001304626,0.014499664,0,
00:00.3,0.000354767,-0.001298904,0.01448822,0,
00:00.4,0.000343323,-0.001316071,0.014505386,0,
00:00.4,0.000331879,-0.001327515,0.014493942,0,
00:00.4,0.000331879,-0.001338959,0.014522552,0,
00:00.4,0.000354767,-0.001321793,0.014528275,0,
00:00.4,0.000360489,-0.001304626,0.01451683,0,
00:00.4,0.000354767,-0.001310349,0.01451683,0,
00:00.4,0.000349045,-0.001327515,0.014539719,0,
00:00.4,0.000343323,-0.001333237,0.014528275,0,
00:00.4,0.000349045,-0.001321793,0.01451683,0,
00:00.4,0.000354767,-0.001304626,0.014528275,0,
00:00.4,0.000354767,-0.001316071,0.014539719,0,
00:00.4,0.000354767,-0.001304626,0.014539719,0,
00:00.4,0.000349045,-0.001333237,0.014522552,0,
00:00.4,0.000349045,-0.001344681,0.014528275,0,
00:00.4,0.000343323,-0.001338959,0.014528275,0,
00:00.4,0.000331879,-0.001344681,0.014545441,0,
00:00.4,0.000343323,-0.001338959,0.014562607,0,
00:00.4,0.000377655,-0.001321793,0.014539719,0,
00:00.4,0.000360489,-0.001327515,0.014556885,0,
00:00.4,0.000360489,-0.001321793,0.014562607,0,
00:00.4,0.000349045,-0.001350403,0.014556885,0,
00:00.4,0.000331879,-0.001356125,0.014539719,0,
00:00.4,0.000343323,-0.001344681,0.014551163,0,
00:00.4,0.000343323,-0.001333237,0.014579773,0,
00:00.4,0.000349045,-0.001333237,0.014556885,0,
00:00.5,0.000366211,-0.001327515,0.014556885,0,
00:00.5,0.000354767,-0.001333237,0.014568329,0,
00:00.5,0.000360489,-0.001344681,0.014562607,0,
00:00.5,0.000354767,-0.001356125,0.014579773,0,
00:00.5,0.000337601,-0.001373291,0.014574051,0,
00:00.5,0.000349045,-0.001344681,0.014574051,0,
00:00.5,0.000366211,-0.001333237,0.014568329,0,
00:00.5,0.000371933,-0.001327515,0.014574051,0,
00:00.5,0.000360489,-0.001333237,0.014574051,0,
00:00.5,0.000354767,-0.001344681,0.014574051,0,
00:00.5,0.000360489,-0.001344681,0.014585495,0,
00:00.5,0.000354767,-0.001356125,0.014568329,0,
00:00.5,0.000349045,-0.001356125,0.014608383,0,
00:00.5,0.000343323,-0.001344681,0.014591217,0,
00:00.5,0.000366211,-0.001344681,0.014591217,0,
00:00.5,0.000366211,-0.001344681,0.014608383,0,
00:00.5,0.000360489,-0.001350403,0.014602661,0,
00:00.5,0.000371933,-0.001350403,0.014585495,0,
00:00.5,0.000349045,-0.001373291,0.014574051,0,
00:00.5,0.000360489,-0.001356125,0.014602661,0,
00:00.5,0.000371933,-0.001344681,0.014602661,0,
00:00.5,0.000360489,-0.001361847,0.014614105,0,
00:00.5,0.000354767,-0.001367569,0.014602661,0,
00:00.5,0.000366211,-0.001361847,0.014591217,0,
00:00.5,0.000360489,-0.001379013,0.014585495,0,
00:00.6,0.000349045,-0.001361847,0.014614105,0,
00:00.6,0.000354767,-0.001361847,0.014625549,0,
00:00.6,0.000349045,-0.001379013,0.014619827,0,
00:00.6,0.000354767,-0.001373291,0.014619827,0,
00:00.6,0.000366211,-0.001350403,0.014614105,0,
00:00.6,0.000366211,-0.001344681,0.014619827,0,
00:00.6,0.000366211,-0.001367569,0.014619827,0,
00:00.6,0.000349045,-0.001396179,0.014614105,0,
00:00.6,0.000331879,-0.001390457,0.014608383,0,
00:00.6,0.000360489,-0.001356125,0.014579773,0,
00:00.6,0.000383377,-0.001338959,0.014619827,0,
00:00.6,0.000371933,-0.001350403,0.014648438,0,
00:00.6,0.000366211,-0.001367569,0.014636993,0,
00:00.6,0.000360489,-0.001373291,0.014636993,0,
00:00.6,0.000360489,-0.001379013,0.014636993,0,
00:00.6,0.000354767,-0.001384735,0.014636993,0,
00:00.6,0.000349045,-0.001407623,0.014636993,0,
00:00.6,0.000349045,-0.001401901,0.014631271,0,
00:00.6,0.000400543,-0.001344681,0.014596939,0,
00:00.6,0.000377655,-0.001350403,0.014631271,0,
00:00.6,0.000354767,-0.001367569,0.014648438,0,
00:00.6,0.000366211,-0.001373291,0.014642715,0,
00:00.6,0.000366211,-0.001373291,0.01465416,0,
00:00.6,0.000371933,-0.001367569,0.014648438,0,
00:00.6,0.000354767,-0.001396179,0.014648438,0,
00:00.7,0.000343323,-0.001424789,0.014642715,0,
00:00.7,0.000343323,-0.001413345,0.014648438,0,
00:00.7,0.000360489,-0.001361847,0.014602661,0,
00:00.7,0.000377655,-0.001338959,0.014608383,0,
00:00.7,0.000371933,-0.001373291,0.014677048,0,
00:00.7,0.000371933,-0.001379013,0.014659882,0,
00:00.7,0.000366211,-0.001379013,0.014671326,0,
00:00.7,0.000360489,-0.001379013,0.014671326,0,
00:00.7,0.000371933,-0.001384735,0.014659882,0,
00:00.7,0.000366211,-0.001390457,0.014659882,0,
00:00.7,0.000360489,-0.001401901,0.014648438,0,
00:00.7,0.000360489,-0.001401901,0.014665604,0,
00:00.7,0.000366211,-0.001390457,0.014665604,0,
00:00.7,0.000366211,-0.001379013,0.014648438,0,
00:00.7,0.000360489,-0.001373291,0.014631271,0,
00:00.7,0.000371933,-0.001361847,0.014619827,0,
00:00.7,0.000389099,-0.001379013,0.014659882,0,
00:00.7,0.000360489,-0.001396179,0.014694214,0,
00:00.7,0.000360489,-0.001407623,0.014688492,0,
00:00.7,0.000360489,-0.001407623,0.01468277,0,
00:00.7,0.000360489,-0.001407623,0.014677048,0,
00:00.7,0.000360489,-0.001401901,0.014677048,0,
00:00.7,0.000366211,-0.001396179,0.014671326,0,
00:00.7,0.000366211,-0.001396179,0.014665604,0,
00:00.7,0.000366211,-0.001401901,0.014665604,0,
00:00.8,0.000371933,-0.001390457,0.014671326,0,
00:00.8,0.000371933,-0.001396179,0.014677048,0,
00:00.8,0.000371933,-0.001379013,0.014665604,0,
00:00.8,0.000366211,-0.001367569,0.014602661,0,
00:00.8,0.000366211,-0.001373291,0.014614105,0,
00:00.8,0.000366211,-0.001419067,0.014717102,0,
00:00.8,0.000366211,-0.001419067,0.014705658,0,
00:00.8,0.000366211,-0.001407623,0.014699936,0,
00:00.8,0.000371933,-0.001390457,0.01468277,0,
00:00.8,0.000377655,-0.001384735,0.01468277,0,
00:00.8,0.000371933,-0.001390457,0.01468277,0,
00:00.8,0.000366211,-0.001407623,0.01468277,0,
00:00.8,0.000360489,-0.001407623,0.01468277,0,
00:00.8,0.000371933,-0.001390457,0.014677048,0,
00:00.8,0.000383377,-0.001384735,0.014671326,0,
00:00.8,0.000366211,-0.001390457,0.014659882,0,
00:00.8,0.000371933,-0.001396179,0.014671326,0,
00:00.8,0.000371933,-0.001413345,0.014665604,0,
00:00.8,0.000389099,-0.001384735,0.014677048,0,
00:00.8,0.000366211,-0.001407623,0.014705658,0,
00:00.8,0.000354767,-0.001419067,0.014694214,0,
00:00.8,0.000371933,-0.001401901,0.014688492,0,
00:00.8,0.000371933,-0.001401901,0.014694214,0,
00:00.8,0.000366211,-0.001407623,0.014688492,0,
00:00.8,0.000371933,-0.001407623,0.014677048,0,
00:00.9,0.000371933,-0.001407623,0.014677048,0,
00:00.9,0.000377655,-0.001401901,0.014642715,0,
00:00.9,0.000366211,-0.001401901,0.014625549,0,
00:00.9,0.000354767,-0.001419067,0.014705658,0,
00:00.9,0.000371933,-0.001407623,0.014722824,0,
00:00.9,0.000377655,-0.001407623,0.014699936,0,
00:00.9,0.000371933,-0.001407623,0.014699936,0,
00:00.9,0.000377655,-0.001413345,0.014688492,0,
00:00.9,0.000377655,-0.001407623,0.014677048,0,
00:00.9,0.000366211,-0.001407623,0.014677048,0,
00:00.9,0.000349045,-0.001419067,0.014665604,0,
00:00.9,0.000371933,-0.001424789,0.014671326,0,
00:00.9,0.000383377,-0.001401901,0.014699936,0,
00:00.9,0.000389099,-0.001390457,0.014694214,0,
00:00.9,0.000377655,-0.001396179,0.01468277,0,
00:00.9,0.000371933,-0.001407623,0.014688492,0,
00:00.9,0.000394821,-0.001407623,0.014677048,0,
00:00.9,0.000366211,-0.001424789,0.014699936,0,
00:00.9,0.000371933,-0.001419067,0.01468277,0,
00:00.9,0.000383377,-0.001396179,0.01465416,0,
00:00.9,0.000366211,-0.001407623,0.014671326,0,
00:00.9,0.000371933,-0.001413345,0.014677048,0,
00:00.9,0.000371933,-0.001413345,0.014705658,0,
00:00.9,0.000371933,-0.001413345,0.014694214,0,
00:00.9,0.000371933,-0.001419067,0.014688492,0,
00:01.0,0.000377655,-0.001419067,0.014694214,0,
00:01.0,0.000371933,-0.001419067,0.01468277,0,
00:01.0,0.000366211,-0.001413345,0.014677048,0,
00:01.0,0.000371933,-0.001396179,0.01465416,0,
00:01.0,0.000366211,-0.001407623,0.01468277,0,
00:01.0,0.000360489,-0.001430511,0.014705658,0,
00:01.0,0.000371933,-0.001413345,0.014694214,0,
00:01.0,0.000383377,-0.001407623,0.014688492,0,
00:01.0,0.000377655,-0.001413345,0.014677048,0,
00:01.0,0.000366211,-0.001436234,0.01468277,0,
00:01.0,0.000366211,-0.001424789,0.014694214,0,
00:01.0,0.000371933,-0.001401901,0.014671326,0,
00:00:01,0.000371933,-0.001390457,0.014659882,0,
00:01.0,0.000371933,-0.001401901,0.014699936,0,
00:01.0,0.000394821,-0.001413345,0.014688492,0,
00:01.0,0.000383377,-0.001419067,0.014694214,0,
00:01.0,0.000360489,-0.001430511,0.014688492,0,
00:01.0,0.000360489,-0.001436234,0.014677048,0,
00:01.0,0.000371933,-0.001419067,0.01468277,0,
00:01.0,0.000383377,-0.001396179,0.014677048,0,
00:01.0,0.000371933,-0.001401901,0.014671326,0,
00:01.0,0.000366211,-0.001407623,0.014671326,0,
00:01.0,0.000360489,-0.001424789,0.014688492,0,
00:01.0,0.000371933,-0.001413345,0.014671326,0,
00:01.0,0.000366211,-0.001413345,0.014665604,0,
00:01.1,0.000371933,-0.001419067,0.01468277,0,
00:01.1,0.000360489,-0.001430511,0.014688492,0,
00:01.1,0.000360489,-0.001430511,0.014688492,0,
00:01.1,0.000377655,-0.001419067,0.014671326,0,
00:01.1,0.000377655,-0.001407623,0.014671326,0,
00:01.1,0.000371933,-0.001413345,0.01468277,0,
00:01.1,0.000360489,-0.001413345,0.014671326,0,
00:01.1,0.000366211,-0.001419067,0.014677048,0,
00:01.1,0.000371933,-0.001419067,0.014688492,0,
00:01.1,0.000366211,-0.001424789,0.01468277,0,
00:01.1,0.000354767,-0.001441956,0.01468277,0,
00:01.1,0.000354767,-0.001436234,0.014688492,0,
00:01.1,0.000377655,-0.001413345,0.014677048,0,
00:01.1,0.000389099,-0.001396179,0.014659882,0,
00:01.1,0.000371933,-0.001407623,0.01465416,0,
00:01.1,0.000366211,-0.001419067,0.01468277,0,
00:01.1,0.000360489,-0.001419067,0.014677048,0,
00:01.1,0.000360489,-0.001424789,0.01468277,0,
00:01.1,0.000360489,-0.001436234,0.014677048,0,
