Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.000183105,-0.000297546,0.012891769,0,
00:00.0,-0.00019455,-0.000291824,0.012897491,0,
00:00.0,-0.000165939,-0.000274658,0.012903214,0,
00:00.0,-0.000177383,-0.000263214,0.012908936,0,
00:00.0,-0.000177383,-0.000257492,0.012903214,0,
00:00.0,-0.000165939,-0.000263214,0.012903214,0,
00:00.0,-0.000165939,-0.000274658,0.012908936,0,
00:00.0,-0.000171661,-0.000286102,0.012914658,0,
00:00.0,-0.000165939,-0.000263214,0.01292038,0,
00:00.0,-0.000177383,-0.000268936,0.01292038,0,
00:00.0,-0.000183105,-0.000286102,0.012926102,0,
00:00.0,-0.00019455,-0.000291824,0.012931824,0,
00:00.0,-0.000177383,-0.000286102,0.012937546,0,
00:00.1,-0.000177383,-0.000274658,0.012943268,0,
00:00.1,-0.000165939,-0.000274658,0.012937546,0,
00:00.1,-0.000171661,-0.000286102,0.012937546,0,
00:00.1,-0.000177383,-0.00028038,0.012943268,0,
00:00.1,-0.000183105,-0.000286102,0.012943268,0,
00:00.1,-0.00019455,-0.000314713,0.012954712,0,
00:00.1,-0.000188828,-0.00030899,0.012954712,0,
00:00.1,-0.000171661,-0.000268936,0.012960434,0,
00:00.1,-0.000165939,-0.000257492,0.012966156,0,
00:00.1,-0.000171661,-0.000274658,0.012971878,0,
00:00.1,-0.000171661,-0.000274658,0.0129776,0,
00:00.1,-0.000177383,-0.000291824,0.0129776,0,
00:00.1,-0.000183105,-0.000291824,0.012971878,0,
00:00.1,-0.000183105,-0.000303268,0.012983322,0,
00:00.1,-0.00019455,-0.000303268,0.012994766,0,
00:00.1,-0.000205994,-0.00028038,0.012989044,0,
00:00.1,-0.000165939,-0.000274658,0.012989044,0,
00:00.1,-0.000171661,-0.000291824,0.012994766,0,
00:00.1,-0.000171661,-0.00030899,0.013000488,0,
00:00.1,-0.000171661,-0.000314713,0.01300621,0,
00:00.1,-0.000171661,-0.000286102,0.013017654,0,
00:00.1,-0.000171661,-0.000274658,0.013017654,0,
00:00.1,-0.000160217,-0.00028038,0.013017654,0,
00:00.1,-0.000177383,-0.000297546,0.013023376,0,
00:00.1,-0.000188828,-0.000303268,0.013029099,0,
00:00.2,-0.000171661,-0.000297546,0.013034821,0,
00:00.2,-0.000165939,-0.000303268,0.013034821,0,
00:00.2,-0.000171661,-0.00030899,0.013040543,0,
00:00.2,-0.000165939,-0.000297546,0.013046265,0,
00:00.2,-0.000165939,-0.00028038,0.013057709,0,
00:00.2,-0.000171661,-0.00028038,0.013057709,0,
00:00.2,-0.000177383,-0.000297546,0.013063431,0,
00:00.2,-0.000171661,-0.000314713,0.013063431,0,
00:00.2,-0.000177383,-0.000326157,0.013069153,0,
00:00.2,-0.000177383,-0.00030899,0.013074875,0,
00:00.2,-0.000183105,-0.000291824,0.013080597,0,
00:00.2,-0.000183105,-0.000297546,0.013086319,0,
00:00.2,-0.000171661,-0.000320435,0.013086319,0,
00:00.2,-0.000171661,-0.000331879,0.013097763,0,
00:00.2,-0.000183105,-0.000314713,0.013103485,0,
00:00.2,-0.000165939,-0.00030899,0.013109207,0,
00:00.2,-0.000171661,-0.000314713,0.013097763,0,
00:00.2,-0.000177383,-0.000314713,0.013103485,0,
00:00.2,-0.000171661,-0.00030899,0.013114929,0,
00:00.2,-0.000177383,-0.000314713,0.013120651,0,
00:00.2,-0.000160217,-0.000314713,0.013132095,0,
00:00.2,-0.000171661,-0.000331879,0.013132095,0,
00:00.2,-0.000177383,-0.000343323,0.013132095,0,
00:00.2,-0.000165939,-0.000326157,0.013137817,0,
00:00.2,-0.000165939,-0.000297546,0.013149261,0,
00:00.3,-0.000160217,-0.00030899,0.013154984,0,
00:00.3,-0.000171661,-0.000331879,0.013154984,0,
00:00.3,-0.000188828,-0.000349045,0.013160706,0,
00:00.3,-0.000171661,-0.000343323,0.013166428,0,
00:00.3,-0.000160217,-0.000303268,0.01317215,0,
00:00.3,-0.000165939,-0.000303268,0.013177872,0,
00:00.3,-0.000160217,-0.000314713,0.013183594,0,
00:00.3,-0.000160217,-0.000320435,0.013183594,0,
00:00.3,-0.000165939,-0.000331879,0.013189316,0,
00:00.3,-0.000165939,-0.000343323,0.01320076,0,
00:00.3,-0.000171661,-0.000343323,0.013206482,0,
00:00.3,-0.000171661,-0.000331879,0.013206482,0,
00:00.3,-0.000160217,-0.000331879,0.013212204,0,
00:00.3,-0.000160217,-0.000343323,0.013217926,0,
00:00.3,-0.000165939,-0.000343323,0.01322937,0,
00:00.3,-0.000160217,-0.000337601,0.01322937,0,
00:00.3,-0.000160217,-0.000343323,0.01322937,0,
00:00.3,-0.000165939,-0.000343323,0.013235092,0,
00:00.3,-0.000160217,-0.000343323,0.013240814,0,
00:00.3,-0.000160217,-0.000354767,0.013252258,0,
00:00.3,-0.000165939,-0.000360489,0.013252258,0,
00:00.3,-0.000171661,-0.000343323,0.01325798,0,
00:00.3,-0.000177383,-0.000343323,0.013263702,0,
00:00.3,-0.000154495,-0.000354767,0.013275146,0,
00:00.3,-0.000143051,-0.000366211,0.013280869,0,
00:00.4,-0.000154495,-0.000354767,0.013269424,0,
00:00.4,-0.000143051,-0.000343323,0.013280869,0,
00:00.4,-0.000148773,-0.000343323,0.013286591,0,
00:00.4,-0.000148773,-0.000343323,0.013292313,0,
00:00.4,-0.000154495,-0.000360489,0.013303757,0,
00:00.4,-0.000160217,-0.000377655,0.013309479,0,
00:00.4,-0.000160217,-0.000371933,0.013315201,0,
00:00.4,-0.000148773,-0.000354767,0.013315201,0,
00:00.4,-0.000148773,-0.000349045,0.013315201,0,
00:00.4,-0.000148773,-0.000337601,0.013326645,0,
00:00.4,-0.000148773,-0.000354767,0.013332367,0,
00:00.4,-0.000154495,-0.000366211,0.013338089,0,
00:00.4,-0.000154495,-0.000377655,0.013343811,0,
00:00.4,-0.000154495,-0.000383377,0.013349533,0,
00:00.4,-0.000148773,-0.000377655,0.013355255,0,
00:00.4,-0.000154495,-0.000377655,0.013360977,0,
00:00.4,-0.000143051,-0.000366211,0.013366699,0,
00:00.4,-0.000137329,-0.000360489,0.013366699,0,
00:00.4,-0.000143051,-0.000371933,0.013378143,0,
00:00.4,-0.000143051,-0.000366211,0.013383865,0,
00:00.4,-0.000137329,-0.000366211,0.013389587,0,
00:00.4,-0.000137329,-0.000377655,0.013395309,0,
00:00.4,-0.000137329,-0.000371933,0.013395309,0,
00:00.4,-0.000137329,-0.000371933,0.013406754,0,
00:00.4,-0.000137329,-0.000371933,0.013406754,0,
00:00.5,-0.000137329,-0.000371933,0.013412476,0,
00:00.5,-0.000154495,-0.000394821,0.013418198,0,
00:00.5,-0.000143051,-0.000406265,0.013418198,0,
00:00.5,-0.000137329,-0.000394821,0.013429642,0,
00:00.5,-0.000125885,-0.000383377,0.013435364,0,
00:00.5,-0.000148773,-0.000394821,0.013441086,0,
00:00.5,-0.000148773,-0.000411987,0.013446808,0,
00:00.5,-0.000131607,-0.000411987,0.01345253,0,
00:00.5,-0.000125885,-0.000406265,0.013463974,0,
00:00.5,-0.000131607,-0.000383377,0.013463974,0,
00:00.5,-0.000108719,-0.000354767,0.013463974,0,
00:00.5,-0.000114441,-0.000377655,0.013463974,0,
00:00.5,-0.000125885,-0.000411987,0.013469696,0,
00:00.5,-0.000143051,-0.000434875,0.013475418,0,
00:00.5,-0.000143051,-0.000440598,0.013486862,0,
00:00.5,-0.000137329,-0.000406265,0.013492584,0,
00:00.5,-0.000108719,-0.000354767,0.013492584,0,
00:00.5,-0.000114441,-0.000371933,0.013498306,0,
00:00.5,-0.000125885,-0.000400543,0.013504028,0,
00:00.5,-0.000125885,-0.000400543,0.01350975,0,
00:00.5,-0.000120163,-0.000400543,0.013515472,0,
00:00.5,-0.000120163,-0.000411987,0.013521194,0,
00:00.5,-0.000125885,-0.000417709,0.013526917,0,
00:00.5,-0.000131607,-0.000411987,0.013532639,0,
00:00.5,-0.000120163,-0.000423431,0.013532639,0,
00:00.6,-0.000114441,-0.000417709,0.013544083,0,
00:00.6,-0.000120163,-0.000417709,0.013544083,0,
00:00.6,-0.000120163,-0.000434875,0.013549805,0,
00:00.6,-0.000131607,-0.00044632,0.013555527,0,
00:00.6,-0.000131607,-0.000429153,0.013561249,0,
00:00.6,-0.000125885,-0.000429153,0.013566971,0,
00:00.6,-0.000120163,-0.000429153,0.013572693,0,
00:00.6,-0.000114441,-0.000400543,0.013566971,0,
00:00.6,-0.000114441,-0.000400543,0.013578415,0,
00:00.6,-0.000137329,-0.000411987,0.013584137,0,
00:00.6,-0.000120163,-0.000411987,0.013589859,0,
00:00.6,-0.000114441,-0.000417709,0.013589859,0,
00:00.6,-0.000108719,-0.000429153,0.013595581,0,
00:00.6,-0.000114441,-0.000429153,0.013601303,0,
00:00.6,-0.000120163,-0.000429153,0.013607025,0,
00:00.6,-9.73E-05,-0.000429153,0.013607025,0,
00:00.6,-0.000102997,-0.000429153,0.013612747,0,
00:00.6,-0.000102997,-0.000423431,0.013612747,0,
00:00.6,-0.000108719,-0.000429153,0.013624191,0,
00:00.6,-0.000108719,-0.000434875,0.013629913,0,
00:00.6,-0.000108719,-0.000440598,0.013635635,0,
00:00.6,-0.000114441,-0.00044632,0.013635635,0,
00:00.6,-0.000114441,-0.000440598,0.013635635,0,
00:00.6,-0.000108719,-0.000434875,0.013641357,0,
00:00.6,-0.000108719,-0.000440598,0.013647079,0,
00:00.7,-0.000114441,-0.000452042,0.013652802,0,
00:00.7,-0.000114441,-0.000452042,0.013652802,0,
00:00.7,-0.000102997,-0.000434875,0.013658524,0,
00:00.7,-0.000114441,-0.000429153,0.013658524,0,
00:00.7,-0.000114441,-0.00044632,0.013669968,0,
00:00.7,-0.000108719,-0.000469208,0.013669968,0,
00:00.7,-0.000114441,-0.000457764,0.01367569,0,
00:00.7,-0.000108719,-0.000463486,0.013681412,0,
00:00.7,-0.000102997,-0.000434875,0.013681412,0,
00:00.7,-9.16E-05,-0.000411987,0.013687134,0,
00:00.7,-9.73E-05,-0.000429153,0.013692856,0,
00:00.7,-0.000108719,-0.000440598,0.013692856,0,
00:00.7,-0.000102997,-0.000434875,0.013698578,0,
00:00.7,-0.000108719,-0.000440598,0.0137043,0,
00:00.7,-0.000102997,-0.000457764,0.013710022,0,
00:00.7,-0.000102997,-0.00047493,0.0137043,0,
00:00.7,-0.000102997,-0.00047493,0.013710022,0,
00:00.7,-9.73E-05,-0.00044632,0.013715744,0,
00:00.7,-9.73E-05,-0.000434875,0.013715744,0,
00:00.7,-9.16E-05,-0.000434875,0.013721466,0,
00:00.7,-9.73E-05,-0.000457764,0.013727188,0,
00:00.7,-0.000102997,-0.000480652,0.01373291,0,
00:00.7,-0.000108719,-0.000469208,0.013738632,0,
00:00.7,-0.000108719,-0.000429153,0.013738632,0,
00:00.7,-0.000102997,-0.000440598,0.013744354,0,
00:00.8,-8.58E-05,-0.000452042,0.013744354,0,
00:00.8,-9.16E-05,-0.000457764,0.013744354,0,
00:00.8,-9.16E-05,-0.000457764,0.013750076,0,
00:00.8,-9.73E-05,-0.000457764,0.013750076,0,
00:00.8,-0.000102997,-0.000452042,0.013755798,0,
00:00.8,-0.000108719,-0.000440598,0.01376152,0,
00:00.8,-9.73E-05,-0.000463486,0.013767242,0,
00:00.8,-9.16E-05,-0.000480652,0.013767242,0,
00:00.8,-7.44E-05,-0.000457764,0.013767242,0,
00:00.8,-8.58E-05,-0.000452042,0.013778687,0,
00:00.8,-9.16E-05,-0.000469208,0.013784409,0,
00:00.8,-8.58E-05,-0.000457764,0.013778687,0,
00:00.8,-8.58E-05,-0.000457764,0.013778687,0,
00:00.8,-9.16E-05,-0.000469208,0.013784409,0,
00:00.8,-8.01E-05,-0.000469208,0.013790131,0,
00:00.8,-8.58E-05,-0.000463486,0.013795853,0,
00:00.8,-8.58E-05,-0.000452042,0.013795853,0,
00:00.8,-8.58E-05,-0.000452042,0.013801575,0,
00:00.8,-7.44E-05,-0.00044632,0.013807297,0,
00:00.8,-7.44E-05,-0.000452042,0.013818741,0,
00:00.8,-8.58E-05,-0.000469208,0.013818741,0,
00:00.8,-9.16E-05,-0.000486374,0.013813019,0,
00:00.8,-8.58E-05,-0.000469208,0.013818741,0,
00:00.8,-8.01E-05,-0.000452042,0.013818741,0,
00:00.8,-8.58E-05,-0.000457764,0.013824463,0,
00:00.9,-8.01E-05,-0.000469208,0.013830185,0,
00:00.9,-8.58E-05,-0.000492096,0.013830185,0,
00:00.9,-8.58E-05,-0.000480652,0.013830185,0,
00:00.9,-8.01E-05,-0.000452042,0.013835907,0,
00:00.9,-9.16E-05,-0.000457764,0.013841629,0,
00:00.9,-8.01E-05,-0.00047493,0.013841629,0,
00:00.9,-6.87E-05,-0.00047493,0.013847351,0,
00:00.9,-8.58E-05,-0.00050354,0.013847351,0,
00:00.9,-0.000120163,-0.000520706,0.013847351,0,
00:00.9,-9.16E-05,-0.000480652,0.013853073,0,
00:00.9,-5.15E-05,-0.000440598,0.013858795,0,
00:00.9,-6.87E-05,-0.000457764,0.013853073,0,
00:00.9,-7.44E-05,-0.00047493,0.013858795,0,
00:00.9,-7.44E-05,-0.000469208,0.013864517,0,
00:00.9,-7.44E-05,-0.00047493,0.013870239,0,
00:00.9,-9.16E-05,-0.000480652,0.013875961,0,
00:00.9,-8.01E-05,-0.00047493,0.013875961,0,
00:00.9,-6.87E-05,-0.00047493,0.013875961,0,
00:00.9,-6.87E-05,-0.00047493,0.013875961,0,
00:00.9,-6.87E-05,-0.000469208,0.013881683,0,
00:00.9,-7.44E-05,-0.000469208,0.013887405,0,
00:00.9,-7.44E-05,-0.000469208,0.013887405,0,
00:00.9,-7.44E-05,-0.00047493,0.013887405,0,
00:00.9,-7.44E-05,-0.000486374,0.013893127,0,
00:00.9,-7.44E-05,-0.000486374,0.013898849,0,
00:01.0,-7.44E-05,-0.000480652,0.013898849,0,
00:01.0,-8.01E-05,-0.000486374,0.013898849,0,
00:01.0,-8.58E-05,-0.000509262,0.013898849,0,
00:01.0,-9.16E-05,-0.00050354,0.013910294,0,
00:01.0,-8.01E-05,-0.000469208,0.013921738,0,
00:01.0,-9.16E-05,-0.000469208,0.013904572,0,
00:01.0,-8.58E-05,-0.000480652,0.013904572,0,
00:01.0,-5.72E-05,-0.00047493,0.013904572,0,
00:01.0,-6.29E-05,-0.000463486,0.013904572,0,
00:01.0,-6.29E-05,-0.000469208,0.013910294,0,
00:01.0,-6.87E-05,-0.00047493,0.013921738,0,
00:01.0,-6.29E-05,-0.00047493,0.013916016,0,
00:00:01,-5.72E-05,-0.000492096,0.013910294,0,
00:01.0,-6.87E-05,-0.000509262,0.013916016,0,
00:01.0,-6.87E-05,-0.000492096,0.01392746,0,
00:01.0,-6.87E-05,-0.000469208,0.01392746,0,
00:01.0,-6.87E-05,-0.000480652,0.01392746,0,
00:01.0,-7.44E-05,-0.000480652,0.01392746,0,
00:01.0,-6.29E-05,-0.000480652,0.013933182,0,
00:01.0,-6.87E-05,-0.000497818,0.013938904,0,
00:01.0,-6.29E-05,-0.000492096,0.013938904,0,
00:01.0,-6.29E-05,-0.000469208,0.013938904,0,
00:01.0,-6.29E-05,-0.000463486,0.013938904,0,
00:01.0,-6.87E-05,-0.000480652,0.013944626,0,
00:01.0,-8.01E-05,-0.000492096,0.013944626,0,
00:01.1,-6.87E-05,-0.000480652,0.013950348,0,
00:01.1,-5.72E-05,-0.00047493,0.013950348,0,
00:01.1,-6.29E-05,-0.000486374,0.013950348,0,
