Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000514984,-0.001951218,0.007175446,0,
00:00.0,0.000509262,-0.00198555,0.007152557,0,
00:00.0,0.000520706,-0.001974106,0.007135391,0,
00:00.0,0.000514984,-0.001951218,0.007135391,0,
00:00.0,0.000509262,-0.001951218,0.007181168,0,
00:00.0,0.000526428,-0.00195694,0.007175446,0,
00:00.0,0.000509262,-0.001974106,0.007164001,0,
00:00.0,0.000526428,-0.001974106,0.007146835,0,
00:00.0,0.000537872,-0.001928329,0.007175446,0,
00:00.0,0.000514984,-0.001974106,0.007181168,0,
00:00.0,0.000509262,-0.001968384,0.00718689,0,
00:00.0,0.000520706,-0.00198555,0.007175446,0,
00:00.0,0.000509262,-0.001979828,0.007164001,0,
00:00.1,0.000520706,-0.001962662,0.007175446,0,
00:00.1,0.000526428,-0.001951218,0.007169724,0,
00:00.1,0.000492096,-0.002002716,0.007181168,0,
00:00.1,0.00050354,-0.001979828,0.007192612,0,
00:00.1,0.000520706,-0.001968384,0.007169724,0,
00:00.1,0.000514984,-0.00195694,0.007175446,0,
00:00.1,0.000520706,-0.001968384,0.007181168,0,
00:00.1,0.000520706,-0.001974106,0.007192612,0,
00:00.1,0.000514984,-0.001979828,0.007169724,0,
00:00.1,0.000514984,-0.001974106,0.007164001,0,
00:00.1,0.000514984,-0.001979828,0.007169724,0,
00:00.1,0.000520706,-0.001968384,0.00718689,0,
00:00.1,0.000526428,-0.00198555,0.007209778,0,
00:00.1,0.000509262,-0.00198555,0.00718689,0,
00:00.1,0.000514984,-0.001939774,0.007175446,0,
00:00.1,0.000520706,-0.001945496,0.007169724,0,
00:00.1,0.000543594,-0.001939774,0.00718689,0,
00:00.1,0.00053215,-0.001979828,0.007198334,0,
00:00.1,0.000492096,-0.001996994,0.007209778,0,
00:00.1,0.000520706,-0.001991272,0.00718689,0,
00:00.1,0.000514984,-0.002008438,0.00718689,0,
00:00.1,0.00050354,-0.001991272,0.007232666,0,
