Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000926971,-0.000869751,0.013109207,0,
00:00.0,0.000932693,-0.000886917,0.013103485,0,
00:00.0,0.000915527,-0.000875473,0.013109207,0,
00:00.0,0.000915527,-0.000898361,0.013120651,0,
00:00.0,0.000892639,-0.000875473,0.013097763,0,
00:00.0,0.000915527,-0.000869751,0.013103485,0,
00:00.0,0.000915527,-0.000875473,0.013103485,0,
00:00.0,0.000921249,-0.000915527,0.013092041,0,
00:00.0,0.000904083,-0.000881195,0.013109207,0,
00:00.0,0.000898361,-0.000858307,0.013103485,0,
00:00.0,0.000904083,-0.000806808,0.013080597,0,
00:00.0,0.000944138,-0.000869751,0.013103485,0,
00:00.0,0.000904083,-0.000835419,0.013109207,0,
00:00.1,0.000932693,-0.000852585,0.013092041,0,
00:00.1,0.000915527,-0.000875473,0.013114929,0,
00:00.1,0.000892639,-0.000921249,0.013114929,0,
00:00.1,0.000892639,-0.000892639,0.013097763,0,
00:00.1,0.000915527,-0.000864029,0.013074875,0,
00:00.1,0.000904083,-0.000858307,0.013086319,0,
00:00.1,0.000909805,-0.000864029,0.013092041,0,
00:00.1,0.000904083,-0.000864029,0.013109207,0,
00:00.1,0.000909805,-0.000858307,0.013109207,0,
00:00.1,0.000909805,-0.000846863,0.013092041,0,
00:00.1,0.000915527,-0.000852585,0.013097763,0,
00:00.1,0.000915527,-0.000801086,0.013092041,0,
00:00.1,0.000961304,-0.000904083,0.013092041,0,
00:00.1,0.000881195,-0.000932693,0.013109207,0,
00:00.1,0.000858307,-0.000892639,0.013092041,0,
00:00.1,0.000886917,-0.000841141,0.013103485,0,
00:00.1,0.000909805,-0.000846863,0.013097763,0,
00:00.1,0.000909805,-0.000852585,0.013080597,0,
00:00.1,0.000898361,-0.000818253,0.013063431,0,
00:00.1,0.000915527,-0.000829697,0.013086319,0,
00:00.1,0.000926971,-0.000881195,0.013097763,0,
