Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000463486,0.000537872,0.011964798,0,
00:00.0,0.000463486,0.000526428,0.011964798,0,
00:00.0,0.000497818,0.000577927,0.01194191,0,
00:00.0,0.000457764,0.00056076,0.011936188,0,
00:00.0,0.00047493,0.000549316,0.011964798,0,
00:00.0,0.000486374,0.000566483,0.011953354,0,
00:00.0,0.00047493,0.000555038,0.011936188,0,
00:00.0,0.000497818,0.000589371,0.011924744,0,
00:00.0,0.000492096,0.000583649,0.011930466,0,
00:00.0,0.000486374,0.00056076,0.011924744,0,
00:00.0,0.000469208,0.00053215,0.011907578,0,
00:00.0,0.000486374,0.000577927,0.011953354,0,
00:00.0,0.00050354,0.000572205,0.011924744,0,
00:00.1,0.000492096,0.000589371,0.011924744,0,
00:00.1,0.000480652,0.000572205,0.011901855,0,
00:00.1,0.000486374,0.000566483,0.0119133,0,
00:00.1,0.000480652,0.000549316,0.011924744,0,
00:00.1,0.000492096,0.000566483,0.01194191,0,
00:00.1,0.000486374,0.000549316,0.011930466,0,
00:00.1,0.00047493,0.000566483,0.0119133,0,
00:00.1,0.000492096,0.000583649,0.011919022,0,
00:00.1,0.000480652,0.000589371,0.0119133,0,
00:00.1,0.000463486,0.000526428,0.011890411,0,
00:00.1,0.000509262,0.000595093,0.011896133,0,
00:00.1,0.000492096,0.000583649,0.011884689,0,
00:00.1,0.000480652,0.000583649,0.011890411,0,
00:00.1,0.000497818,0.000555038,0.011907578,0,
00:00.1,0.000463486,0.000514984,0.011907578,0,
00:00.1,0.00050354,0.000572205,0.011901855,0,
00:00.1,0.000486374,0.000572205,0.011901855,0,
00:00.1,0.000469208,0.000577927,0.011884689,0,
00:00.1,0.000486374,0.000583649,0.011884689,0,
00:00.1,0.000486374,0.000555038,0.011884689,0,
00:00.1,0.000469208,0.000537872,0.011878967,0,
00:00.1,0.00047493,0.000566483,0.011884689,0,
00:00.1,0.000497818,0.000583649,0.011878967,0,
00:00.1,0.000497818,0.000606537,0.011867523,0,
00:00.1,0.000480652,0.00056076,0.011873245,0,
00:00.2,0.00047493,0.000543594,0.011878967,0,
00:00.2,0.000492096,0.000566483,0.011861801,0,
00:00.2,0.000509262,0.000589371,0.011838913,0,
00:00.2,0.000497818,0.000577927,0.011844635,0,
00:00.2,0.000486374,0.000566483,0.011878967,0,
00:00.2,0.000492096,0.000595093,0.011856079,0,
00:00.2,0.000480652,0.000577927,0.011856079,0,
00:00.2,0.000469208,0.000577927,0.011856079,0,
00:00.2,0.00047493,0.000537872,0.011856079,0,
00:00.2,0.000492096,0.000566483,0.011861801,0,
00:00.2,0.000480652,0.000555038,0.011856079,0,
00:00.2,0.000486374,0.000577927,0.011850357,0,
00:00.2,0.000486374,0.000583649,0.011844635,0,
00:00.2,0.000497818,0.000589371,0.011838913,0,
