Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,0.000377655,-0.002082825,0.009624481,0,
00:00.0,0.000320435,-0.002094269,0.009618759,0,
00:00.0,0.000349045,-0.002088547,0.009647369,0,
00:00.0,0.000366211,-0.002082825,0.009681702,0,
00:00.0,0.000394821,-0.002077103,0.009618759,0,
00:00.0,0.000383377,-0.002077103,0.009618759,0,
00:00.0,0.000377655,-0.002071381,0.009630203,0,
00:00.0,0.000371933,-0.002077103,0.009635925,0,
00:00.0,0.000366211,-0.002077103,0.009641647,0,
00:00.0,0.000371933,-0.002077103,0.009653091,0,
00:00.0,0.000371933,-0.002071381,0.009630203,0,
00:00.0,0.000377655,-0.002077103,0.009595871,0,
00:00.0,0.000366211,-0.002082825,0.009624481,0,
00:00.1,0.000366211,-0.002077103,0.009584427,0,
00:00.1,0.000360489,-0.002077103,0.009687424,0,
00:00.1,0.000354767,-0.002082825,0.009681702,0,
00:00.1,0.000354767,-0.002071381,0.009613037,0,
00:00.1,0.000354767,-0.002077103,0.009613037,0,
00:00.1,0.000371933,-0.002077103,0.009681702,0,
00:00.1,0.000360489,-0.002077103,0.009658813,0,
00:00.1,0.000354767,-0.002077103,0.009647369,0,
00:00.1,0.000383377,-0.002071381,0.009607315,0,
00:00.1,0.000371933,-0.002065659,0.009590149,0,
00:00.1,0.000360489,-0.002065659,0.009641647,0,
00:00.1,0.000383377,-0.002065659,0.009595871,0,
00:00.1,0.000366211,-0.002065659,0.009653091,0,
00:00.1,0.000337601,-0.002071381,0.00967598,0,
00:00.1,0.000360489,-0.002071381,0.00967598,0,
00:00.1,0.000389099,-0.002071381,0.009647369,0,
00:00.1,0.000371933,-0.002071381,0.009681702,0,
00:00.1,0.000354767,-0.002059937,0.009670258,0,
00:00.1,0.000354767,-0.002048492,0.009647369,0,
00:00.1,0.000360489,-0.002059937,0.009653091,0,
00:00.1,0.000366211,-0.002071381,0.009607315,0,
00:00.1,0.000349045,-0.002065659,0.009670258,0,
00:00.1,0.000331879,-0.002065659,0.00967598,0,
00:00.1,0.000314713,-0.002065659,0.009664536,0,
00:00.1,0.000354767,-0.002059937,0.009624481,0,
00:00.2,0.000371933,-0.002065659,0.009601593,0,
00:00.2,0.000326157,-0.002065659,0.009618759,0,
00:00.2,0.000349045,-0.002059937,0.00967598,0,
00:00.2,0.000366211,-0.002059937,0.009670258,0,
00:00.2,0.000366211,-0.002065659,0.009698868,0,
00:00.2,0.000354767,-0.002059937,0.009670258,0,
00:00.2,0.000343323,-0.002054214,0.009670258,0,
00:00.2,0.000366211,-0.002054214,0.009635925,0,
00:00.2,0.000349045,-0.002071381,0.009624481,0,
00:00.2,0.000331879,-0.002071381,0.009744644,0,
00:00.2,0.000366211,-0.002059937,0.009681702,0,
00:00.2,0.000371933,-0.002054214,0.009658813,0,
00:00.2,0.000371933,-0.002054214,0.00967598,0,
00:00.2,0.000383377,-0.002048492,0.009647369,0,
00:00.2,0.000337601,-0.002054214,0.00967598,0,
00:00.2,0.000337601,-0.002054214,0.00967598,0,
00:00.2,0.000354767,-0.002054214,0.009681702,0,
00:00.2,0.000371933,-0.002048492,0.009658813,0,
00:00.2,0.000360489,-0.002054214,0.009647369,0,
00:00.2,0.000349045,-0.002059937,0.009641647,0,
00:00.2,0.000331879,-0.002054214,0.009658813,0,
00:00.2,0.000349045,-0.002048492,0.009716034,0,
00:00.2,0.000343323,-0.002048492,0.009618759,0,
00:00.2,0.000349045,-0.002054214,0.009635925,0,
00:00.2,0.000360489,-0.002054214,0.009687424,0,
00:00.3,0.000354767,-0.002048492,0.009681702,0,
00:00.3,0.000360489,-0.00204277,0.009721756,0,
00:00.3,0.000331879,-0.00204277,0.009693146,0,
00:00.3,0.000354767,-0.00204277,0.00967598,0,
00:00.3,0.000360489,-0.002054214,0.009693146,0,
00:00.3,0.000354767,-0.002048492,0.009670258,0,
00:00.3,0.000320435,-0.002059937,0.009635925,0,
00:00.3,0.000360489,-0.002048492,0.009738922,0,
00:00.3,0.000349045,-0.00204277,0.009681702,0,
00:00.3,0.000331879,-0.00204277,0.009681702,0,
00:00.3,0.000320435,-0.002037048,0.009693146,0,
00:00.3,0.000343323,-0.00204277,0.009710312,0,
00:00.3,0.000360489,-0.002037048,0.009647369,0,
00:00.3,0.000331879,-0.002048492,0.009658813,0,
00:00.3,0.000360489,-0.00204277,0.009687424,0,
00:00.3,0.000349045,-0.00204277,0.009698868,0,
00:00.3,0.000349045,-0.002037048,0.009721756,0,
00:00.3,0.000349045,-0.00204277,0.009670258,0,
00:00.3,0.000349045,-0.002037048,0.009664536,0,
00:00.3,0.000343323,-0.00204277,0.009698868,0,
00:00.3,0.000337601,-0.002037048,0.009658813,0,
00:00.3,0.000366211,-0.002025604,0.009664536,0,
00:00.3,0.000349045,-0.002037048,0.009698868,0,
00:00.3,0.00030899,-0.00204277,0.00970459,0,
00:00.3,0.000320435,-0.002031326,0.00967598,0,
00:00.4,0.000354767,-0.002037048,0.00970459,0,
00:00.4,0.000343323,-0.002037048,0.009681702,0,
00:00.4,0.000343323,-0.002037048,0.0097332,0,
00:00.4,0.000320435,-0.002054214,0.00970459,0,
00:00.4,0.000320435,-0.002048492,0.009721756,0,
00:00.4,0.000349045,-0.002025604,0.009698868,0,
00:00.4,0.000349045,-0.002019882,0.009687424,0,
00:00.4,0.000331879,-0.002025604,0.009681702,0,
00:00.4,0.000360489,-0.00201416,0.009693146,0,
00:00.4,0.000349045,-0.002025604,0.009658813,0,
00:00.4,0.00030899,-0.00204277,0.00967598,0,
00:00.4,0.000286102,-0.002048492,0.0097332,0,
00:00.4,0.000383377,-0.002019882,0.009670258,0,
00:00.4,0.000366211,-0.002008438,0.009687424,0,
00:00.4,0.000349045,-0.002019882,0.009681702,0,
00:00.4,0.000320435,-0.002031326,0.009681702,0,
00:00.4,0.000343323,-0.002025604,0.009658813,0,
00:00.4,0.000314713,-0.002025604,0.009658813,0,
00:00.4,0.000337601,-0.00201416,0.009693146,0,
00:00.4,0.000360489,-0.00201416,0.009693146,0,
00:00.4,0.000320435,-0.002031326,0.009698868,0,
00:00.4,0.000320435,-0.002019882,0.009710312,0,
00:00.4,0.000314713,-0.002025604,0.009698868,0,
00:00.4,0.000354767,-0.00201416,0.009727478,0,
00:00.4,0.000354767,-0.002019882,0.00967598,0,
00:00.5,0.000343323,-0.002025604,0.009630203,0,
00:00.5,0.000320435,-0.002019882,0.009727478,0,
00:00.5,0.000326157,-0.002031326,0.009710312,0,
00:00.5,0.000326157,-0.002025604,0.00970459,0,
00:00.5,0.00030899,-0.002025604,0.00970459,0,
00:00.5,0.000320435,-0.002025604,0.009710312,0,
00:00.5,0.000371933,-0.002019882,0.009693146,0,
00:00.5,0.000360489,-0.00201416,0.009727478,0,
00:00.5,0.000337601,-0.002008438,0.009670258,0,
00:00.5,0.000326157,-0.002008438,0.009664536,0,
00:00.5,0.000337601,-0.00201416,0.009727478,0,
00:00.5,0.000326157,-0.002019882,0.009727478,0,
00:00.5,0.000326157,-0.002019882,0.009698868,0,
00:00.5,0.000343323,-0.00201416,0.009653091,0,
00:00.5,0.000326157,-0.002019882,0.009670258,0,
00:00.5,0.000337601,-0.002002716,0.0097332,0,
00:00.5,0.000360489,-0.002008438,0.009607315,0,
00:00.5,0.000326157,-0.002019882,0.009716034,0,
00:00.5,0.000326157,-0.00201416,0.009698868,0,
00:00.5,0.000303268,-0.00201416,0.009698868,0,
00:00.5,0.000303268,-0.002019882,0.009727478,0,
00:00.5,0.000337601,-0.00201416,0.009716034,0,
00:00.5,0.000354767,-0.00201416,0.009710312,0,
00:00.5,0.000349045,-0.002002716,0.009653091,0,
00:00.5,0.00030899,-0.002008438,0.009693146,0,
00:00.6,0.000257492,-0.002025604,0.009727478,0,
00:00.6,0.000337601,-0.00201416,0.009738922,0,
00:00.6,0.000366211,-0.001996994,0.009687424,0,
00:00.6,0.000343323,-0.001996994,0.009670258,0,
00:00.6,0.000326157,-0.002002716,0.009716034,0,
00:00.6,0.000320435,-0.00201416,0.009716034,0,
00:00.6,0.000326157,-0.00201416,0.009710312,0,
00:00.6,0.000354767,-0.001991272,0.009561539,0,
00:00.6,0.000337601,-0.002002716,0.009687424,0,
00:00.6,0.000314713,-0.002008438,0.009767532,0,
00:00.6,0.000320435,-0.002002716,0.009721756,0,
00:00.6,0.000314713,-0.002002716,0.009727478,0,
00:00.6,0.000314713,-0.002008438,0.0097332,0,
00:00.6,0.000320435,-0.002002716,0.009721756,0,
00:00.6,0.000320435,-0.001996994,0.009710312,0,
00:00.6,0.000326157,-0.001996994,0.009716034,0,
00:00.6,0.000303268,-0.002002716,0.009727478,0,
00:00.6,0.000320435,-0.001991272,0.009693146,0,
00:00.6,0.00030899,-0.002002716,0.009681702,0,
00:00.6,0.000343323,-0.001996994,0.009681702,0,
00:00.6,0.000320435,-0.001996994,0.009721756,0,
00:00.6,0.000303268,-0.002002716,0.009750366,0,
00:00.6,0.000303268,-0.001996994,0.009727478,0,
00:00.6,0.000303268,-0.001991272,0.009687424,0,
00:00.6,0.000314713,-0.001996994,0.009727478,0,
00:00.7,0.000320435,-0.001991272,0.009716034,0,
00:00.7,0.000320435,-0.002008438,0.009624481,0,
