Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001945496,0.000944138,-0.001670837,0,
00:00.0,-0.001951218,0.000984192,-0.001688004,0,
00:00.0,-0.001968384,0.000972748,-0.001768112,0,
00:00.0,-0.001934052,0.000961304,-0.001722336,0,
00:00.0,-0.001911163,0.000921249,-0.001642227,0,
00:00.0,-0.001882553,0.000938416,-0.001670837,0,
00:00.0,-0.001893997,0.00094986,-0.001653671,0,
00:00.0,-0.001939774,0.000972748,-0.001642227,0,
00:00.0,-0.00195694,0.000972748,-0.001688004,0,
00:00.0,-0.001939774,0.000995636,-0.001722336,0,
00:00.0,-0.001893997,0.000995636,-0.001739502,0,
00:00.0,-0.001899719,0.000909805,-0.001670837,0,
00:00.0,-0.001922607,0.000961304,-0.001688004,0,
00:00.1,-0.00195694,0.000984192,-0.001693726,0,
00:00.1,-0.001928329,0.000926971,-0.001756668,0,
00:00.1,-0.001916885,0.000955582,-0.001710892,0,
00:00.1,-0.001922607,0.000967026,-0.001682281,0,
00:00.1,-0.001934052,0.000961304,-0.001682281,0,
00:00.1,-0.001951218,0.000932693,-0.001728058,0,
00:00.1,-0.001893997,0.000961304,-0.001665115,0,
00:00.1,-0.001905441,0.00097847,-0.001665115,0,
00:00.1,-0.001939774,0.000932693,-0.001670837,0,
00:00.1,-0.00195694,0.000898361,-0.001699448,0,
00:00.1,-0.001922607,0.00097847,-0.001693726,0,
00:00.1,-0.001911163,0.000972748,-0.001682281,0,
00:00.1,-0.001939774,0.000932693,-0.001659393,0,
00:00.1,-0.001974106,0.000984192,-0.001699448,0,
00:00.1,-0.001928329,0.000967026,-0.001682281,0,
00:00.1,-0.001893997,0.000967026,-0.001676559,0,
00:00.1,-0.001934052,0.000938416,-0.00170517,0,
00:00.1,-0.001916885,0.000909805,-0.001699448,0,
00:00.1,-0.001905441,0.000938416,-0.001659393,0,
00:00.1,-0.001928329,0.000961304,-0.001688004,0,
00:00.1,-0.001934052,0.000955582,-0.001728058,0,
00:00.1,-0.001905441,0.000984192,-0.001688004,0,
00:00.1,-0.001939774,0.000972748,-0.001665115,0,
00:00.1,-0.001979828,0.000904083,-0.00176239,0,
00:00.1,-0.001882553,0.000955582,-0.001693726,0,
00:00.2,-0.001888275,0.00100708,-0.001630783,0,
00:00.2,-0.001934052,0.000984192,-0.001722336,0,
00:00.2,-0.001945496,0.000932693,-0.001722336,0,
00:00.2,-0.001928329,0.00094986,-0.001676559,0,
00:00.2,-0.001911163,0.000932693,-0.001630783,0,
00:00.2,-0.001922607,0.00094986,-0.001670837,0,
00:00.2,-0.001928329,0.001001358,-0.001653671,0,
00:00.2,-0.001928329,0.001041412,-0.00170517,0,
00:00.2,-0.001951218,0.000955582,-0.00176239,0,
00:00.2,-0.001911163,0.000938416,-0.001693726,0,
00:00.2,-0.001911163,0.00094986,-0.001636505,0,
00:00.2,-0.001916885,0.000944138,-0.001659393,0,
00:00.2,-0.001928329,0.000938416,-0.001659393,0,
00:00.2,-0.001911163,0.000955582,-0.001710892,0,
