Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.002832413,0.001996994,-0.00352478,0,
00:00.0,-0.002832413,0.001991272,-0.00352478,0,
00:00.0,-0.002855301,0.001979828,-0.003519058,0,
00:00.0,-0.002861023,0.001979828,-0.00352478,0,
00:00.0,-0.002872467,0.001979828,-0.003513336,0,
00:00.0,-0.002866745,0.00198555,-0.00349617,0,
00:00.0,-0.002855301,0.001979828,-0.003507614,0,
00:00.0,-0.002872467,0.001974106,-0.003513336,0,
00:00.0,-0.002883911,0.001974106,-0.003519058,0,
00:00.0,-0.002878189,0.00198555,-0.003519058,0,
00:00.0,-0.002866745,0.001991272,-0.003513336,0,
00:00.0,-0.002838135,0.001991272,-0.003513336,0,
00:00.0,-0.002838135,0.001979828,-0.003519058,0,
00:00.1,-0.002872467,0.001974106,-0.003507614,0,
00:00.1,-0.002878189,0.001979828,-0.003507614,0,
00:00.1,-0.002866745,0.00198555,-0.003501892,0,
00:00.1,-0.002861023,0.001979828,-0.003507614,0,
00:00.1,-0.002878189,0.001974106,-0.003507614,0,
00:00.1,-0.002878189,0.00198555,-0.003513336,0,
00:00.1,-0.002849579,0.001991272,-0.003513336,0,
00:00.1,-0.002843857,0.00198555,-0.003507614,0,
00:00.1,-0.002855301,0.001979828,-0.003519058,0,
00:00.1,-0.002866745,0.001979828,-0.003507614,0,
00:00.1,-0.002872467,0.001979828,-0.003501892,0,
00:00.1,-0.002872467,0.001979828,-0.003490448,0,
00:00.1,-0.002878189,0.001979828,-0.00349617,0,
00:00.1,-0.002878189,0.001974106,-0.00349617,0,
00:00.1,-0.002895355,0.001974106,-0.003490448,0,
00:00.1,-0.002901077,0.001979828,-0.003501892,0,
00:00.1,-0.002878189,0.00198555,-0.003513336,0,
00:00.1,-0.002883911,0.001979828,-0.003507614,0,
00:00.1,-0.002872467,0.001979828,-0.003513336,0,
00:00.1,-0.002866745,0.00198555,-0.003507614,0,
00:00.1,-0.002872467,0.001979828,-0.003490448,0,
00:00.1,-0.002872467,0.001979828,-0.003479004,0,
00:00.1,-0.002866745,0.001979828,-0.003484726,0,
00:00.1,-0.002866745,0.001979828,-0.003479004,0,
00:00.1,-0.002872467,0.001979828,-0.003490448,0,
00:00.2,-0.002889633,0.001979828,-0.00349617,0,
00:00.2,-0.002889633,0.001991272,-0.00349617,0,
00:00.2,-0.002861023,0.001991272,-0.003501892,0,
00:00.2,-0.002855301,0.001979828,-0.003507614,0,
00:00.2,-0.002866745,0.001979828,-0.00349617,0,
00:00.2,-0.002872467,0.00198555,-0.003490448,0,
00:00.2,-0.002872467,0.001979828,-0.003484726,0,
00:00.2,-0.002883911,0.001974106,-0.003484726,0,
00:00.2,-0.002883911,0.00198555,-0.003484726,0,
00:00.2,-0.002872467,0.00198555,-0.003490448,0,
00:00.2,-0.002889633,0.001979828,-0.003490448,0,
00:00.2,-0.002901077,0.001979828,-0.003490448,0,
00:00.2,-0.002883911,0.001979828,-0.003490448,0,
00:00.2,-0.002878189,0.001979828,-0.003490448,0,
00:00.2,-0.002878189,0.00198555,-0.00349617,0,
00:00.2,-0.002878189,0.00198555,-0.00349617,0,
00:00.2,-0.002883911,0.001974106,-0.003479004,0,
00:00.2,-0.002901077,0.001974106,-0.003479004,0,
00:00.2,-0.002883911,0.001979828,-0.003490448,0,
00:00.2,-0.002866745,0.001974106,-0.003479004,0,
00:00.2,-0.002901077,0.001968384,-0.003473282,0,
00:00.2,-0.002923965,0.001968384,-0.003473282,0,
00:00.2,-0.002918243,0.00198555,-0.003479004,0,
00:00.2,-0.002861023,0.001991272,-0.003484726,0,
00:00.2,-0.002843857,0.00198555,-0.003484726,0,
00:00.3,-0.002872467,0.00198555,-0.003484726,0,
00:00.3,-0.002883911,0.00198555,-0.00349617,0,
00:00.3,-0.002872467,0.00198555,-0.00349617,0,
00:00.3,-0.002843857,0.001979828,-0.003484726,0,
00:00.3,-0.002866745,0.001974106,-0.00346756,0,
00:00.3,-0.002895355,0.001968384,-0.003473282,0,
00:00.3,-0.002906799,0.001974106,-0.003461838,0,
00:00.3,-0.002895355,0.001974106,-0.003473282,0,
00:00.3,-0.002895355,0.001968384,-0.003473282,0,
00:00.3,-0.002895355,0.001974106,-0.003461838,0,
00:00.3,-0.002906799,0.001979828,-0.003473282,0,
00:00.3,-0.002895355,0.001979828,-0.003473282,0,
00:00.3,-0.002878189,0.001979828,-0.003473282,0,
00:00.3,-0.002883911,0.001974106,-0.00346756,0,
00:00.3,-0.002883911,0.001968384,-0.00346756,0,
00:00.3,-0.002889633,0.001974106,-0.003473282,0,
00:00.3,-0.002895355,0.001968384,-0.00346756,0,
00:00.3,-0.002901077,0.001968384,-0.00346756,0,
00:00.3,-0.002889633,0.001979828,-0.003473282,0,
00:00.3,-0.002878189,0.001979828,-0.003479004,0,
00:00.3,-0.002883911,0.001974106,-0.003473282,0,
00:00.3,-0.002912521,0.001974106,-0.00346756,0,
00:00.3,-0.002901077,0.001979828,-0.003461838,0,
00:00.3,-0.002889633,0.001968384,-0.003456116,0,
00:00.3,-0.002923965,0.001968384,-0.003461838,0,
00:00.4,-0.002906799,0.001974106,-0.003461838,0,
00:00.4,-0.002883911,0.00198555,-0.003461838,0,
00:00.4,-0.002872467,0.001979828,-0.00346756,0,
00:00.4,-0.002883911,0.001968384,-0.003456116,0,
00:00.4,-0.002895355,0.001974106,-0.003450394,0,
00:00.4,-0.002895355,0.001974106,-0.003456116,0,
00:00.4,-0.002895355,0.001974106,-0.003461838,0,
00:00.4,-0.002889633,0.001974106,-0.003461838,0,
00:00.4,-0.002895355,0.001974106,-0.003461838,0,
00:00.4,-0.002895355,0.001974106,-0.00346756,0,
00:00.4,-0.002895355,0.001968384,-0.003473282,0,
00:00.4,-0.002941132,0.00195694,-0.003479004,0,
00:00.4,-0.002946854,0.001968384,-0.003461838,0,
00:00.4,-0.002889633,0.00198555,-0.003456116,0,
00:00.4,-0.002849579,0.001979828,-0.003456116,0,
00:00.4,-0.002866745,0.001974106,-0.003444672,0,
00:00.4,-0.002895355,0.001974106,-0.003444672,0,
00:00.4,-0.002889633,0.001974106,-0.003456116,0,
00:00.4,-0.002895355,0.001968384,-0.003461838,0,
00:00.4,-0.002906799,0.001968384,-0.003461838,0,
00:00.4,-0.002906799,0.001968384,-0.00346756,0,
00:00.4,-0.002918243,0.001968384,-0.00346756,0,
00:00.4,-0.002923965,0.001968384,-0.003473282,0,
00:00.4,-0.002889633,0.001968384,-0.003461838,0,
00:00.4,-0.002872467,0.001968384,-0.003450394,0,
00:00.5,-0.002906799,0.001968384,-0.003450394,0,
00:00.5,-0.002912521,0.001968384,-0.003444672,0,
00:00.5,-0.002895355,0.001968384,-0.003444672,0,
00:00.5,-0.002889633,0.001968384,-0.003450394,0,
00:00.5,-0.002901077,0.00195694,-0.003450394,0,
00:00.5,-0.00293541,0.00195694,-0.003461838,0,
00:00.5,-0.002946854,0.001974106,-0.003461838,0,
00:00.5,-0.002883911,0.00198555,-0.003456116,0,
00:00.5,-0.002861023,0.001974106,-0.003456116,0,
00:00.5,-0.002895355,0.00195694,-0.00343895,0,
00:00.5,-0.002912521,0.001968384,-0.00343895,0,
00:00.5,-0.002895355,0.001968384,-0.003450394,0,
00:00.5,-0.002889633,0.001962662,-0.003450394,0,
00:00.5,-0.002895355,0.001962662,-0.00343895,0,
00:00.5,-0.002912521,0.001962662,-0.003444672,0,
00:00.5,-0.002929688,0.001962662,-0.003444672,0,
00:00.5,-0.002929688,0.001968384,-0.003444672,0,
00:00.5,-0.002912521,0.001968384,-0.003450394,0,
00:00.5,-0.002878189,0.001974106,-0.003456116,0,
00:00.5,-0.002872467,0.001968384,-0.003456116,0,
00:00.5,-0.002883911,0.001962662,-0.003450394,0,
00:00.5,-0.002912521,0.001962662,-0.003450394,0,
00:00.5,-0.002906799,0.00195694,-0.003456116,0,
00:00.5,-0.002906799,0.00195694,-0.003450394,0,
00:00.5,-0.002912521,0.001962662,-0.00343895,0,
00:00.6,-0.002895355,0.001962662,-0.003444672,0,
00:00.6,-0.002895355,0.001962662,-0.003433228,0,
00:00.6,-0.002906799,0.001962662,-0.003427505,0,
00:00.6,-0.002906799,0.001968384,-0.003433228,0,
00:00.6,-0.002889633,0.001974106,-0.00343895,0,
00:00.6,-0.002883911,0.001968384,-0.00343895,0,
00:00.6,-0.002895355,0.00195694,-0.003450394,0,
00:00.6,-0.002912521,0.001962662,-0.003450394,0,
00:00.6,-0.002901077,0.001974106,-0.003444672,0,
00:00.6,-0.002883911,0.001968384,-0.003450394,0,
00:00.6,-0.002895355,0.001968384,-0.00343895,0,
00:00.6,-0.002912521,0.00195694,-0.00343895,0,
00:00.6,-0.002906799,0.00195694,-0.00343895,0,
00:00.6,-0.002901077,0.001962662,-0.003427505,0,
00:00.6,-0.002901077,0.001962662,-0.00343895,0,
00:00.6,-0.002883911,0.001962662,-0.003444672,0,
00:00.6,-0.002883911,0.001962662,-0.003416061,0,
00:00.6,-0.002901077,0.00195694,-0.003421783,0,
00:00.6,-0.002912521,0.001968384,-0.003427505,0,
00:00.6,-0.002889633,0.001962662,-0.003427505,0,
00:00.6,-0.002895355,0.001962662,-0.003427505,0,
00:00.6,-0.002912521,0.001962662,-0.003433228,0,
00:00.6,-0.002895355,0.001968384,-0.003433228,0,
00:00.6,-0.002883911,0.001962662,-0.003433228,0,
00:00.6,-0.002895355,0.001968384,-0.00343895,0,
00:00.7,-0.002883911,0.001968384,-0.00343895,0,
00:00.7,-0.002889633,0.001951218,-0.00343895,0,
00:00.7,-0.002912521,0.001945496,-0.00343895,0,
00:00.7,-0.002912521,0.00195694,-0.003427505,0,
00:00.7,-0.002895355,0.001962662,-0.003433228,0,
00:00.7,-0.002901077,0.00195694,-0.003433228,0,
00:00.7,-0.002912521,0.00195694,-0.00343895,0,
00:00.7,-0.002918243,0.00195694,-0.003444672,0,
00:00.7,-0.002906799,0.00195694,-0.003427505,0,
00:00.7,-0.002895355,0.001951218,-0.003433228,0,
00:00.7,-0.002901077,0.001945496,-0.003433228,0,
00:00.7,-0.002918243,0.001951218,-0.003427505,0,
00:00.7,-0.002906799,0.00195694,-0.00343895,0,
00:00.7,-0.002895355,0.00195694,-0.003427505,0,
00:00.7,-0.002912521,0.001962662,-0.003427505,0,
00:00.7,-0.002901077,0.001968384,-0.003427505,0,
00:00.7,-0.002878189,0.001962662,-0.003427505,0,
00:00.7,-0.002889633,0.00195694,-0.003427505,0,
00:00.7,-0.002889633,0.00195694,-0.00343895,0,
00:00.7,-0.002906799,0.001962662,-0.00343895,0,
00:00.7,-0.002901077,0.001962662,-0.003433228,0,
00:00.7,-0.002878189,0.00195694,-0.003427505,0,
00:00.7,-0.002895355,0.001945496,-0.003416061,0,
00:00.7,-0.002918243,0.001945496,-0.003421783,0,
00:00.7,-0.002918243,0.001951218,-0.003421783,0,
00:00.8,-0.002912521,0.001951218,-0.003427505,0,
00:00.8,-0.002923965,0.001951218,-0.003421783,0,
00:00.8,-0.002923965,0.00195694,-0.003427505,0,
00:00.8,-0.002895355,0.00195694,-0.003433228,0,
00:00.8,-0.002895355,0.00195694,-0.003433228,0,
00:00.8,-0.002912521,0.00195694,-0.003444672,0,
00:00.8,-0.002912521,0.001962662,-0.00343895,0,
00:00.8,-0.002889633,0.00195694,-0.003433228,0,
00:00.8,-0.002889633,0.001945496,-0.003416061,0,
00:00.8,-0.002918243,0.001951218,-0.003421783,0,
00:00.8,-0.002912521,0.00195694,-0.003410339,0,
00:00.8,-0.002901077,0.00195694,-0.003416061,0,
00:00.8,-0.002906799,0.001951218,-0.003421783,0,
00:00.8,-0.002923965,0.001945496,-0.003427505,0,
00:00.8,-0.002929688,0.001945496,-0.003427505,0,
00:00.8,-0.002923965,0.001962662,-0.003433228,0,
00:00.8,-0.002906799,0.001962662,-0.003433228,0,
00:00.8,-0.002901077,0.001962662,-0.00343895,0,
00:00.8,-0.002901077,0.00195694,-0.003450394,0,
00:00.8,-0.002878189,0.001951218,-0.003427505,0,
00:00.8,-0.002895355,0.001951218,-0.003421783,0,
00:00.8,-0.002923965,0.00195694,-0.003421783,0,
00:00.8,-0.002918243,0.00195694,-0.003416061,0,
00:00.8,-0.002901077,0.001951218,-0.003416061,0,
00:00.8,-0.002918243,0.001951218,-0.003421783,0,
00:00.9,-0.002929688,0.001951218,-0.003421783,0,
00:00.9,-0.002929688,0.001962662,-0.003427505,0,
00:00.9,-0.002901077,0.001962662,-0.003427505,0,
00:00.9,-0.002889633,0.00195694,-0.003433228,0,
00:00.9,-0.002912521,0.00195694,-0.00343895,0,
00:00.9,-0.002923965,0.001962662,-0.00343895,0,
00:00.9,-0.002923965,0.00195694,-0.003433228,0,
00:00.9,-0.002912521,0.001945496,-0.003433228,0,
00:00.9,-0.002901077,0.00195694,-0.003421783,0,
00:00.9,-0.002883911,0.001962662,-0.003433228,0,
00:00.9,-0.002889633,0.00195694,-0.003433228,0,
00:00.9,-0.002901077,0.001945496,-0.003433228,0,
00:00.9,-0.002912521,0.001945496,-0.003416061,0,
00:00.9,-0.002918243,0.001951218,-0.003410339,0,
00:00.9,-0.00293541,0.001951218,-0.003410339,0,
00:00.9,-0.002918243,0.00195694,-0.003410339,0,
00:00.9,-0.002901077,0.001951218,-0.003410339,0,
00:00.9,-0.002895355,0.001945496,-0.003416061,0,
00:00.9,-0.002901077,0.001945496,-0.003421783,0,
00:00.9,-0.002906799,0.001951218,-0.003427505,0,
00:00.9,-0.002918243,0.001951218,-0.003433228,0,
00:00.9,-0.002923965,0.001951218,-0.003433228,0,
00:00.9,-0.002918243,0.001945496,-0.003427505,0,
00:00.9,-0.002918243,0.001945496,-0.003433228,0,
00:00.9,-0.002918243,0.00195694,-0.003433228,0,
