Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.005332947,0.00299263,0.000606537,0,
00:00.0,-0.005327225,0.00299263,0.000606537,0,
00:00.0,-0.005332947,0.00299263,0.000606537,0,
00:00.0,-0.005338669,0.002986908,0.000606537,0,
00:00.0,-0.005344391,0.002986908,0.000606537,0,
00:00.0,-0.005350113,0.00299263,0.000606537,0,
00:00.0,-0.005327225,0.002998352,0.000606537,0,
00:00.0,-0.005315781,0.002998352,0.000606537,0,
00:00.0,-0.005327225,0.00299263,0.000606537,0,
00:00.0,-0.005332947,0.00299263,0.000606537,0,
00:00.0,-0.005332947,0.00299263,0.000606537,0,
00:00.0,-0.005332947,0.002998352,0.000606537,0,
00:00.0,-0.005327225,0.00299263,0.000606537,0,
00:00.1,-0.005315781,0.00299263,0.000600815,0,
00:00.1,-0.005321503,0.00299263,0.000600815,0,
00:00.1,-0.005332947,0.00299263,0.000606537,0,
00:00.1,-0.005338669,0.00299263,0.000600815,0,
00:00.1,-0.005327225,0.002998352,0.000600815,0,
00:00.1,-0.005315781,0.002998352,0.000600815,0,
00:00.1,-0.005310059,0.002998352,0.000600815,0,
00:00.1,-0.005315781,0.002998352,0.000600815,0,
00:00.1,-0.005321503,0.002998352,0.000600815,0,
00:00.1,-0.005321503,0.002998352,0.000600815,0,
00:00.1,-0.005321503,0.002998352,0.000595093,0,
00:00.1,-0.005338669,0.00299263,0.000595093,0,
00:00.1,-0.005350113,0.00299263,0.000595093,0,
00:00.1,-0.005321503,0.002998352,0.000595093,0,
00:00.1,-0.005321503,0.002998352,0.000595093,0,
00:00.1,-0.005327225,0.00299263,0.000595093,0,
00:00.1,-0.005327225,0.00299263,0.000595093,0,
00:00.1,-0.005310059,0.002998352,0.000595093,0,
00:00.1,-0.005315781,0.002998352,0.000595093,0,
00:00.1,-0.005327225,0.00299263,0.000595093,0,
00:00.1,-0.005327225,0.00299263,0.000595093,0,
00:00.1,-0.005332947,0.00299263,0.000595093,0,
00:00.1,-0.005332947,0.00299263,0.000595093,0,
00:00.1,-0.005332947,0.00299263,0.000595093,0,
00:00.1,-0.005321503,0.00299263,0.000589371,0,
00:00.2,-0.005315781,0.002998352,0.000589371,0,
00:00.2,-0.005315781,0.00299263,0.000589371,0,
00:00.2,-0.005321503,0.002998352,0.000589371,0,
00:00.2,-0.005321503,0.002998352,0.000589371,0,
00:00.2,-0.005321503,0.00299263,0.000589371,0,
00:00.2,-0.005321503,0.00299263,0.000583649,0,
00:00.2,-0.005310059,0.002998352,0.000583649,0,
00:00.2,-0.005298615,0.00299263,0.000589371,0,
00:00.2,-0.005304337,0.002998352,0.000589371,0,
00:00.2,-0.005310059,0.00299263,0.000583649,0,
00:00.2,-0.005321503,0.00299263,0.000583649,0,
00:00.2,-0.005321503,0.00299263,0.000583649,0,
00:00.2,-0.005310059,0.002998352,0.000583649,0,
00:00.2,-0.005310059,0.002998352,0.000583649,0,
00:00.2,-0.005321503,0.002998352,0.000583649,0,
00:00.2,-0.005327225,0.00299263,0.000583649,0,
00:00.2,-0.005304337,0.002998352,0.000577927,0,
00:00.2,-0.005304337,0.003004074,0.000583649,0,
00:00.2,-0.005321503,0.00299263,0.000583649,0,
00:00.2,-0.005315781,0.00299263,0.000577927,0,
00:00.2,-0.005310059,0.00299263,0.000577927,0,
00:00.2,-0.005315781,0.00299263,0.000577927,0,
00:00.2,-0.005315781,0.002998352,0.000583649,0,
00:00.2,-0.005315781,0.002998352,0.000577927,0,
00:00.2,-0.005321503,0.00299263,0.000577927,0,
00:00.3,-0.005304337,0.002998352,0.000577927,0,
00:00.3,-0.005292892,0.003004074,0.000577927,0,
00:00.3,-0.005298615,0.002998352,0.000577927,0,
00:00.3,-0.005304337,0.002998352,0.000577927,0,
00:00.3,-0.005298615,0.002998352,0.000577927,0,
00:00.3,-0.005298615,0.002998352,0.000572205,0,
00:00.3,-0.005304337,0.002998352,0.000577927,0,
00:00.3,-0.005310059,0.002998352,0.000577927,0,
00:00.3,-0.005315781,0.002998352,0.000577927,0,
00:00.3,-0.005304337,0.002998352,0.000572205,0,
00:00.3,-0.00528717,0.003004074,0.000572205,0,
00:00.3,-0.005304337,0.003004074,0.000572205,0,
00:00.3,-0.005310059,0.002998352,0.000572205,0,
00:00.3,-0.005304337,0.002998352,0.000572205,0,
00:00.3,-0.005310059,0.00299263,0.000572205,0,
00:00.3,-0.005304337,0.002998352,0.000566483,0,
00:00.3,-0.005304337,0.003004074,0.000566483,0,
00:00.3,-0.005304337,0.003004074,0.000566483,0,
00:00.3,-0.005298615,0.003004074,0.000572205,0,
00:00.3,-0.005304337,0.002998352,0.000572205,0,
00:00.3,-0.005292892,0.003004074,0.000566483,0,
00:00.3,-0.005298615,0.003004074,0.000566483,0,
00:00.3,-0.005304337,0.003004074,0.000566483,0,
00:00.3,-0.005304337,0.003004074,0.000572205,0,
00:00.3,-0.005292892,0.003009796,0.000566483,0,
00:00.4,-0.00528717,0.003004074,0.000566483,0,
00:00.4,-0.005292892,0.003009796,0.000566483,0,
00:00.4,-0.005298615,0.003009796,0.000566483,0,
00:00.4,-0.005304337,0.003004074,0.000566483,0,
00:00.4,-0.005292892,0.003004074,0.00056076,0,
00:00.4,-0.00528717,0.003009796,0.00056076,0,
00:00.4,-0.005298615,0.003004074,0.00056076,0,
00:00.4,-0.005315781,0.002998352,0.00056076,0,
00:00.4,-0.005310059,0.002998352,0.00056076,0,
00:00.4,-0.005281448,0.003004074,0.00056076,0,
00:00.4,-0.005275726,0.003009796,0.00056076,0,
00:00.4,-0.00528717,0.003004074,0.00056076,0,
00:00.4,-0.005292892,0.003004074,0.00056076,0,
00:00.4,-0.005292892,0.003009796,0.00056076,0,
00:00.4,-0.00528717,0.003009796,0.00056076,0,
00:00.4,-0.005281448,0.003009796,0.00056076,0,
00:00.4,-0.00528717,0.003009796,0.00056076,0,
00:00.4,-0.005315781,0.003004074,0.00056076,0,
00:00.4,-0.005327225,0.002998352,0.00056076,0,
00:00.4,-0.005304337,0.002998352,0.000555038,0,
00:00.4,-0.005270004,0.003004074,0.000555038,0,
00:00.4,-0.005264282,0.003009796,0.000555038,0,
00:00.4,-0.005281448,0.003009796,0.000555038,0,
00:00.4,-0.00528717,0.003009796,0.000555038,0,
00:00.4,-0.005275726,0.003004074,0.000555038,0,
00:00.5,-0.005270004,0.003004074,0.000555038,0,
00:00.5,-0.005281448,0.003004074,0.000549316,0,
00:00.5,-0.00528717,0.003004074,0.000549316,0,
00:00.5,-0.005281448,0.003009796,0.000549316,0,
00:00.5,-0.005281448,0.003009796,0.000549316,0,
00:00.5,-0.00528717,0.003004074,0.000549316,0,
00:00.5,-0.005281448,0.003004074,0.000549316,0,
00:00.5,-0.005292892,0.003004074,0.000549316,0,
00:00.5,-0.005298615,0.002998352,0.000549316,0,
00:00.5,-0.005281448,0.003004074,0.000549316,0,
00:00.5,-0.005275726,0.003004074,0.000549316,0,
00:00.5,-0.005281448,0.003004074,0.000549316,0,
00:00.5,-0.005292892,0.002998352,0.000549316,0,
00:00.5,-0.005281448,0.003004074,0.000549316,0,
00:00.5,-0.005275726,0.003004074,0.000543594,0,
00:00.5,-0.005292892,0.003004074,0.000543594,0,
00:00.5,-0.005298615,0.002998352,0.000543594,0,
00:00.5,-0.005281448,0.003004074,0.000543594,0,
00:00.5,-0.005281448,0.003004074,0.000543594,0,
00:00.5,-0.005275726,0.002998352,0.000543594,0,
00:00.5,-0.005270004,0.002998352,0.000537872,0,
00:00.5,-0.005281448,0.002998352,0.000543594,0,
00:00.5,-0.005281448,0.002998352,0.000543594,0,
00:00.5,-0.005270004,0.002998352,0.000543594,0,
00:00.5,-0.005275726,0.00299263,0.000543594,0,
