Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.002586365,0.002168655,-0.002883911,0,
00:00.0,-0.002580643,0.002174377,-0.002872467,0,
00:00.0,-0.002569199,0.002157211,-0.002883911,0,
00:00.0,-0.002569199,0.002168655,-0.002883911,0,
00:00.0,-0.002569199,0.002168655,-0.002889633,0,
00:00.0,-0.002574921,0.002185822,-0.002883911,0,
00:00.0,-0.002569199,0.002174377,-0.002883911,0,
00:00.0,-0.002557755,0.002168655,-0.002889633,0,
00:00.0,-0.002569199,0.002151489,-0.002878189,0,
00:00.0,-0.002580643,0.002151489,-0.002866745,0,
00:00.0,-0.002580643,0.002157211,-0.002872467,0,
00:00.0,-0.002569199,0.002174377,-0.002872467,0,
00:00.0,-0.002563477,0.002168655,-0.002872467,0,
00:00.1,-0.002557755,0.002168655,-0.002878189,0,
00:00.1,-0.002580643,0.002157211,-0.002878189,0,
00:00.1,-0.002580643,0.002162933,-0.002866745,0,
00:00.1,-0.002569199,0.002174377,-0.002872467,0,
00:00.1,-0.002563477,0.002162933,-0.002866745,0,
00:00.1,-0.002552032,0.002168655,-0.002872467,0,
00:00.1,-0.002563477,0.002180099,-0.002878189,0,
00:00.1,-0.002580643,0.002162933,-0.002872467,0,
00:00.1,-0.002569199,0.002145767,-0.002872467,0,
00:00.1,-0.002563477,0.002174377,-0.002861023,0,
00:00.1,-0.002552032,0.002174377,-0.002872467,0,
00:00.1,-0.002574921,0.002157211,-0.002855301,0,
00:00.1,-0.002574921,0.002174377,-0.002855301,0,
00:00.1,-0.002569199,0.002162933,-0.002855301,0,
00:00.1,-0.002563477,0.002162933,-0.002843857,0,
00:00.1,-0.002574921,0.002157211,-0.002849579,0,
00:00.1,-0.002569199,0.002162933,-0.002849579,0,
00:00.1,-0.002563477,0.002162933,-0.002849579,0,
00:00.1,-0.002563477,0.002174377,-0.002855301,0,
00:00.1,-0.002557755,0.002174377,-0.002855301,0,
00:00.1,-0.002563477,0.002157211,-0.002855301,0,
00:00.1,-0.002563477,0.002174377,-0.002855301,0,
00:00.1,-0.002580643,0.002162933,-0.002849579,0,
00:00.1,-0.002580643,0.002145767,-0.002832413,0,
00:00.1,-0.002569199,0.002157211,-0.002843857,0,
00:00.2,-0.00254631,0.002168655,-0.002855301,0,
00:00.2,-0.002563477,0.002162933,-0.002861023,0,
00:00.2,-0.002569199,0.002162933,-0.002838135,0,
00:00.2,-0.002563477,0.002162933,-0.002838135,0,
00:00.2,-0.002574921,0.002162933,-0.002838135,0,
00:00.2,-0.002569199,0.002157211,-0.002838135,0,
00:00.2,-0.002563477,0.002168655,-0.002843857,0,
00:00.2,-0.002563477,0.002168655,-0.002849579,0,
00:00.2,-0.002563477,0.002157211,-0.002843857,0,
00:00.2,-0.002563477,0.002157211,-0.002838135,0,
00:00.2,-0.002557755,0.002174377,-0.002832413,0,
00:00.2,-0.002557755,0.002180099,-0.002849579,0,
00:00.2,-0.002569199,0.002162933,-0.002838135,0,
00:00.2,-0.002563477,0.002145767,-0.002815247,0,
00:00.2,-0.002557755,0.002157211,-0.002843857,0,
00:00.2,-0.002552032,0.002168655,-0.002838135,0,
00:00.2,-0.002563477,0.002157211,-0.002832413,0,
00:00.2,-0.002580643,0.002145767,-0.002820969,0,
00:00.2,-0.002563477,0.002162933,-0.002815247,0,
00:00.2,-0.002552032,0.002168655,-0.002826691,0,
00:00.2,-0.002563477,0.002151489,-0.002815247,0,
