Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.002758026,0.002637863,-0.004766464,0,
00:00.0,-0.002792358,0.002620697,-0.004760742,0,
00:00.0,-0.002826691,0.002540588,-0.004823685,0,
00:00.0,-0.002832413,0.002563477,-0.004772186,0,
00:00.0,-0.002820969,0.002580643,-0.004772186,0,
00:00.0,-0.002803802,0.002574921,-0.004789352,0,
00:00.0,-0.002786636,0.002580643,-0.004737854,0,
00:00.0,-0.002780914,0.002620697,-0.004743576,0,
00:00.0,-0.002775192,0.002620697,-0.004817963,0,
00:00.0,-0.002746582,0.002666473,-0.004875183,0,
00:00.0,-0.002838135,0.002529144,-0.004823685,0,
00:00.0,-0.002820969,0.002557755,-0.004766464,0,
00:00.0,-0.002780914,0.002614975,-0.004795074,0,
00:00.1,-0.002763748,0.002649307,-0.004880905,0,
00:00.1,-0.002780914,0.002580643,-0.004846573,0,
00:00.1,-0.002843857,0.002552032,-0.004720688,0,
00:00.1,-0.002803802,0.002586365,-0.004766464,0,
00:00.1,-0.00276947,0.002626419,-0.00478363,0,
00:00.1,-0.002780914,0.002609253,-0.00475502,0,
00:00.1,-0.002832413,0.002557755,-0.004777908,0,
00:00.1,-0.002809525,0.002586365,-0.004789352,0,
00:00.1,-0.002792358,0.002586365,-0.004800797,0,
00:00.1,-0.00279808,0.002603531,-0.004772186,0,
00:00.1,-0.002792358,0.002603531,-0.00472641,0,
00:00.1,-0.002763748,0.002632141,-0.004743576,0,
00:00.1,-0.002792358,0.002580643,-0.004795074,0,
00:00.1,-0.002838135,0.002523422,-0.004823685,0,
00:00.1,-0.002803802,0.002574921,-0.004795074,0,
00:00.1,-0.002758026,0.002643585,-0.004777908,0,
00:00.1,-0.002752304,0.002649307,-0.004732132,0,
00:00.1,-0.002849579,0.002557755,-0.004806519,0,
00:00.1,-0.002826691,0.002540588,-0.004892349,0,
00:00.1,-0.002803802,0.002557755,-0.004800797,0,
00:00.1,-0.002780914,0.002597809,-0.004772186,0,
00:00.1,-0.002729416,0.002706528,-0.004812241,0,
00:00.1,-0.002786636,0.002580643,-0.004869461,0,
00:00.1,-0.002815247,0.00254631,-0.004737854,0,
00:00.1,-0.002809525,0.002569199,-0.004737854,0,
00:00.2,-0.002780914,0.002580643,-0.004720688,0,
00:00.2,-0.002815247,0.002540588,-0.004846573,0,
00:00.2,-0.00279808,0.002552032,-0.004760742,0,
00:00.2,-0.002775192,0.002609253,-0.004766464,0,
00:00.2,-0.002803802,0.002592087,-0.004852295,0,
00:00.2,-0.002809525,0.002603531,-0.004772186,0,
00:00.2,-0.002792358,0.002609253,-0.004800797,0,
00:00.2,-0.002792358,0.002597809,-0.004817963,0,
00:00.2,-0.002786636,0.002563477,-0.00478363,0,
00:00.2,-0.002792358,0.002569199,-0.004789352,0,
00:00.2,-0.00279808,0.002574921,-0.004737854,0,
00:00.2,-0.002780914,0.002597809,-0.004714966,0,
00:00.2,-0.002820969,0.002552032,-0.004812241,0,
