Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.001579285,-0.000789642,0.006185532,0,
00:00.0,-0.001579285,-0.000795364,0.00617981,0,
00:00.0,-0.001579285,-0.000801086,0.006174088,0,
00:00.0,-0.001585007,-0.000823975,0.006174088,0,
00:00.0,-0.001585007,-0.000818253,0.00617981,0,
00:00.0,-0.001585007,-0.000801086,0.00617981,0,
00:00.0,-0.001585007,-0.000795364,0.00617981,0,
00:00.0,-0.001585007,-0.000801086,0.006185532,0,
00:00.0,-0.001585007,-0.000789642,0.006185532,0,
00:00.0,-0.001585007,-0.00078392,0.006185532,0,
00:00.0,-0.001585007,-0.000795364,0.006185532,0,
00:00.0,-0.001590729,-0.000806808,0.00617981,0,
00:00.0,-0.001590729,-0.000812531,0.00617981,0,
00:00.1,-0.001596451,-0.000812531,0.006185532,0,
00:00.1,-0.001596451,-0.000806808,0.006185532,0,
00:00.1,-0.001590729,-0.00078392,0.00617981,0,
00:00.1,-0.001590729,-0.000789642,0.00617981,0,
00:00.1,-0.001585007,-0.000789642,0.00617981,0,
00:00.1,-0.001596451,-0.000789642,0.006185532,0,
00:00.1,-0.001602173,-0.000806808,0.00617981,0,
00:00.1,-0.001602173,-0.000812531,0.00617981,0,
00:00.1,-0.001596451,-0.000806808,0.006168365,0,
00:00.1,-0.001590729,-0.000789642,0.00617981,0,
00:00.1,-0.001596451,-0.000778198,0.006174088,0,
00:00.1,-0.001602173,-0.000795364,0.00617981,0,
00:00.1,-0.001607895,-0.000801086,0.006174088,0,
00:00.1,-0.001607895,-0.000795364,0.00617981,0,
00:00.1,-0.001602173,-0.000789642,0.006185532,0,
00:00.1,-0.001596451,-0.000795364,0.006162643,0,
00:00.1,-0.001602173,-0.000789642,0.00617981,0,
00:00.1,-0.001607895,-0.00078392,0.006185532,0,
00:00.1,-0.001607895,-0.00078392,0.00617981,0,
00:00.1,-0.001607895,-0.000801086,0.006185532,0,
00:00.1,-0.001613617,-0.000812531,0.006185532,0,
00:00.1,-0.001613617,-0.000806808,0.00617981,0,
00:00.1,-0.001613617,-0.000795364,0.00617981,0,
00:00.1,-0.001613617,-0.00078392,0.00617981,0,
00:00.1,-0.001607895,-0.000772476,0.00617981,0,
00:00.2,-0.001607895,-0.00078392,0.006174088,0,
00:00.2,-0.001613617,-0.000795364,0.00617981,0,
00:00.2,-0.001613617,-0.000789642,0.00617981,0,
00:00.2,-0.001607895,-0.00078392,0.006174088,0,
00:00.2,-0.001613617,-0.00078392,0.00617981,0,
00:00.2,-0.001613617,-0.00078392,0.00617981,0,
00:00.2,-0.001613617,-0.000801086,0.006168365,0,
00:00.2,-0.001619339,-0.000806808,0.006156921,0,
00:00.2,-0.001625061,-0.000795364,0.00617981,0,
00:00.2,-0.001625061,-0.00078392,0.006191254,0,
00:00.2,-0.001619339,-0.000789642,0.006185532,0,
00:00.2,-0.001619339,-0.00078392,0.006168365,0,
00:00.2,-0.001619339,-0.000778198,0.006174088,0,
00:00.2,-0.001625061,-0.000778198,0.00617981,0,
00:00.2,-0.001625061,-0.000789642,0.00617981,0,
00:00.2,-0.001625061,-0.000789642,0.006174088,0,
00:00.2,-0.001625061,-0.000778198,0.00617981,0,
00:00.2,-0.001625061,-0.000772476,0.00617981,0,
00:00.2,-0.001630783,-0.00078392,0.00617981,0,
00:00.2,-0.001636505,-0.000801086,0.006174088,0,
00:00.2,-0.001636505,-0.00078392,0.006174088,0,
00:00.2,-0.001630783,-0.000778198,0.00617981,0,
00:00.2,-0.001630783,-0.000778198,0.00617981,0,
00:00.2,-0.001625061,-0.000772476,0.006174088,0,
00:00.2,-0.001625061,-0.000772476,0.006174088,0,
00:00.3,-0.001630783,-0.00078392,0.006174088,0,
00:00.3,-0.001630783,-0.000778198,0.006162643,0,
00:00.3,-0.001636505,-0.000772476,0.006162643,0,
00:00.3,-0.001636505,-0.000772476,0.006191254,0,
00:00.3,-0.001636505,-0.000778198,0.006185532,0,
00:00.3,-0.001630783,-0.000778198,0.00617981,0,
00:00.3,-0.001630783,-0.000766754,0.006174088,0,
00:00.3,-0.001630783,-0.000761032,0.006162643,0,
00:00.3,-0.001636505,-0.000772476,0.006162643,0,
00:00.3,-0.001642227,-0.000795364,0.00617981,0,
00:00.3,-0.001642227,-0.000801086,0.006168365,0,
00:00.3,-0.001642227,-0.000772476,0.006174088,0,
00:00.3,-0.001636505,-0.000749588,0.006174088,0,
00:00.3,-0.001636505,-0.000749588,0.00617981,0,
00:00.3,-0.001642227,-0.000766754,0.006174088,0,
00:00.3,-0.001642227,-0.000772476,0.006174088,0,
00:00.3,-0.001642227,-0.000772476,0.006174088,0,
00:00.3,-0.001642227,-0.00078392,0.006168365,0,
00:00.3,-0.001647949,-0.000789642,0.006156921,0,
00:00.3,-0.001647949,-0.000789642,0.006145477,0,
00:00.3,-0.001642227,-0.00075531,0.00617981,0,
00:00.3,-0.001642227,-0.000738144,0.006185532,0,
00:00.3,-0.001642227,-0.000749588,0.006174088,0,
00:00.3,-0.001647949,-0.000766754,0.006168365,0,
00:00.3,-0.001653671,-0.000795364,0.006174088,0,
00:00.4,-0.001653671,-0.000778198,0.006168365,0,
00:00.4,-0.001642227,-0.000749588,0.00617981,0,
00:00.4,-0.001642227,-0.00075531,0.006168365,0,
00:00.4,-0.001642227,-0.000761032,0.006162643,0,
