Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.002672195,-0.002300262,0.002946854,0,
00:00.0,-0.002677917,-0.002305984,0.002946854,0,
00:00.0,-0.002677917,-0.002305984,0.002946854,0,
00:00.0,-0.002677917,-0.002305984,0.002941132,0,
00:00.0,-0.002677917,-0.002305984,0.002941132,0,
00:00.0,-0.002677917,-0.002311707,0.002941132,0,
00:00.0,-0.002660751,-0.00229454,0.002918243,0,
00:00.0,-0.002672195,-0.00229454,0.002929688,0,
00:00.0,-0.002689362,-0.002305984,0.00296402,0,
00:00.0,-0.00268364,-0.002305984,0.00296402,0,
00:00.0,-0.00268364,-0.002305984,0.002958298,0,
00:00.0,-0.002689362,-0.002311707,0.002946854,0,
00:00.0,-0.002689362,-0.002311707,0.002946854,0,
00:00.1,-0.002689362,-0.002317429,0.002946854,0,
00:00.1,-0.002689362,-0.002317429,0.002941132,0,
00:00.1,-0.00268364,-0.002311707,0.002952576,0,
00:00.1,-0.00268364,-0.002317429,0.002946854,0,
00:00.1,-0.002689362,-0.002323151,0.002946854,0,
00:00.1,-0.002689362,-0.002317429,0.002941132,0,
00:00.1,-0.00268364,-0.002305984,0.00293541,0,
00:00.1,-0.002672195,-0.002300262,0.002929688,0,
00:00.1,-0.002689362,-0.002311707,0.00293541,0,
00:00.1,-0.002695084,-0.002323151,0.002958298,0,
00:00.1,-0.002695084,-0.002328873,0.002952576,0,
00:00.1,-0.002695084,-0.002334595,0.002946854,0,
00:00.1,-0.002689362,-0.002328873,0.002946854,0,
00:00.1,-0.002695084,-0.002328873,0.002946854,0,
00:00.1,-0.002689362,-0.002317429,0.002946854,0,
00:00.1,-0.002689362,-0.002323151,0.002941132,0,
00:00.1,-0.002689362,-0.002311707,0.002941132,0,
00:00.1,-0.002689362,-0.002305984,0.002946854,0,
00:00.1,-0.002695084,-0.002323151,0.002946854,0,
00:00.1,-0.002700806,-0.002334595,0.002946854,0,
00:00.1,-0.002695084,-0.002328873,0.002946854,0,
00:00.1,-0.002689362,-0.002317429,0.002946854,0,
00:00.1,-0.002700806,-0.002334595,0.002946854,0,
00:00.1,-0.002700806,-0.002334595,0.002941132,0,
00:00.1,-0.002695084,-0.002323151,0.002946854,0,
00:00.2,-0.002700806,-0.002323151,0.002941132,0,
00:00.2,-0.002700806,-0.002323151,0.002946854,0,
00:00.2,-0.002700806,-0.002328873,0.002952576,0,
00:00.2,-0.002695084,-0.002328873,0.002946854,0,
00:00.2,-0.002700806,-0.002334595,0.002946854,0,
00:00.2,-0.002706528,-0.002340317,0.002941132,0,
00:00.2,-0.002717972,-0.002346039,0.002946854,0,
00:00.2,-0.002717972,-0.002346039,0.002952576,0,
00:00.2,-0.00271225,-0.002328873,0.002952576,0,
00:00.2,-0.002700806,-0.002328873,0.002952576,0,
00:00.2,-0.002706528,-0.002328873,0.002946854,0,
00:00.2,-0.00271225,-0.002340317,0.002958298,0,
00:00.2,-0.00271225,-0.002351761,0.002946854,0,
00:00.2,-0.00271225,-0.002346039,0.002941132,0,
00:00.2,-0.002706528,-0.002334595,0.002952576,0,
00:00.2,-0.00271225,-0.002334595,0.002946854,0,
00:00.2,-0.00271225,-0.002346039,0.002958298,0,
00:00.2,-0.00271225,-0.002351761,0.002958298,0,
00:00.2,-0.002717972,-0.002351761,0.002952576,0,
00:00.2,-0.00271225,-0.002346039,0.002946854,0,
00:00.2,-0.00271225,-0.002340317,0.002946854,0,
00:00.2,-0.002717972,-0.002346039,0.002952576,0,
00:00.2,-0.002717972,-0.002346039,0.002952576,0,
00:00.2,-0.00271225,-0.002346039,0.002941132,0,
00:00.2,-0.002717972,-0.002357483,0.002946854,0,
00:00.3,-0.002723694,-0.002363205,0.002958298,0,
00:00.3,-0.002723694,-0.002363205,0.002958298,0,
00:00.3,-0.002717972,-0.002357483,0.002952576,0,
00:00.3,-0.002717972,-0.002351761,0.002958298,0,
00:00.3,-0.002706528,-0.002346039,0.002946854,0,
00:00.3,-0.002717972,-0.002351761,0.002952576,0,
00:00.3,-0.002735138,-0.002374649,0.00296402,0,
00:00.3,-0.002735138,-0.002368927,0.002952576,0,
00:00.3,-0.002729416,-0.002357483,0.002952576,0,
00:00.3,-0.002717972,-0.002351761,0.002952576,0,
00:00.3,-0.002706528,-0.002351761,0.002958298,0,
00:00.3,-0.002735138,-0.002363205,0.002958298,0,
00:00.3,-0.002735138,-0.002368927,0.002958298,0,
00:00.3,-0.002729416,-0.002368927,0.002958298,0,
00:00.3,-0.002735138,-0.002374649,0.002958298,0,
00:00.3,-0.002729416,-0.002368927,0.002958298,0,
00:00.3,-0.002729416,-0.002357483,0.002952576,0,
00:00.3,-0.002729416,-0.002357483,0.002952576,0,
00:00.3,-0.002735138,-0.002368927,0.002958298,0,
00:00.3,-0.002735138,-0.002368927,0.00296402,0,
00:00.3,-0.002729416,-0.002368927,0.00296402,0,
00:00.3,-0.002735138,-0.002374649,0.002958298,0,
00:00.3,-0.00274086,-0.002380371,0.002952576,0,
00:00.3,-0.00274086,-0.002374649,0.00296402,0,
00:00.3,-0.002735138,-0.002368927,0.002958298,0,
00:00.4,-0.002735138,-0.002368927,0.002958298,0,
00:00.4,-0.002735138,-0.002368927,0.002952576,0,
00:00.4,-0.002735138,-0.002363205,0.002952576,0,
