Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.003072739,-0.000921249,0.002368927,0,
00:00.0,-0.003067017,-0.000926971,0.002374649,0,
00:00.0,-0.003078461,-0.000926971,0.002374649,0,
00:00.0,-0.003072739,-0.000921249,0.002363205,0,
00:00.0,-0.003067017,-0.000921249,0.002380371,0,
00:00.0,-0.003067017,-0.000921249,0.002386093,0,
00:00.0,-0.003072739,-0.000921249,0.002380371,0,
00:00.0,-0.003072739,-0.000921249,0.002380371,0,
00:00.0,-0.003072739,-0.000921249,0.002374649,0,
00:00.0,-0.003072739,-0.000921249,0.002380371,0,
00:00.0,-0.003072739,-0.000921249,0.002380371,0,
00:00.0,-0.003072739,-0.000921249,0.002380371,0,
00:00.0,-0.003067017,-0.000921249,0.002368927,0,
00:00.1,-0.003067017,-0.000921249,0.002380371,0,
00:00.1,-0.003072739,-0.000921249,0.002374649,0,
00:00.1,-0.003067017,-0.000921249,0.002374649,0,
00:00.1,-0.003067017,-0.000915527,0.002386093,0,
00:00.1,-0.003067017,-0.000921249,0.002386093,0,
00:00.1,-0.003067017,-0.000921249,0.002380371,0,
00:00.1,-0.003067017,-0.000915527,0.002374649,0,
00:00.1,-0.003067017,-0.000926971,0.002380371,0,
00:00.1,-0.003072739,-0.000932693,0.002386093,0,
00:00.1,-0.003067017,-0.000926971,0.002386093,0,
00:00.1,-0.003061295,-0.000921249,0.002380371,0,
00:00.1,-0.003061295,-0.000921249,0.002380371,0,
00:00.1,-0.003061295,-0.000921249,0.002391815,0,
00:00.1,-0.003061295,-0.000915527,0.002391815,0,
00:00.1,-0.003055573,-0.000915527,0.002386093,0,
00:00.1,-0.003055573,-0.000921249,0.002386093,0,
00:00.1,-0.003061295,-0.000926971,0.002380371,0,
00:00.1,-0.003055573,-0.000926971,0.002386093,0,
00:00.1,-0.00304985,-0.000921249,0.002391815,0,
00:00.1,-0.003061295,-0.000921249,0.002391815,0,
00:00.1,-0.003055573,-0.000926971,0.002391815,0,
00:00.1,-0.003061295,-0.000926971,0.002386093,0,
00:00.1,-0.003055573,-0.000921249,0.002386093,0,
00:00.1,-0.00304985,-0.000915527,0.002374649,0,
00:00.1,-0.00304985,-0.000921249,0.002397537,0,
00:00.2,-0.003055573,-0.000921249,0.002403259,0,
00:00.2,-0.003055573,-0.000921249,0.002397537,0,
00:00.2,-0.003055573,-0.000921249,0.002397537,0,
00:00.2,-0.00304985,-0.000921249,0.002391815,0,
00:00.2,-0.00304985,-0.000926971,0.002397537,0,
00:00.2,-0.00304985,-0.000926971,0.002397537,0,
00:00.2,-0.00304985,-0.000926971,0.002391815,0,
00:00.2,-0.00304985,-0.000926971,0.002391815,0,
00:00.2,-0.003044128,-0.000921249,0.002391815,0,
00:00.2,-0.003044128,-0.000915527,0.002380371,0,
00:00.2,-0.003044128,-0.000915527,0.002391815,0,
00:00.2,-0.003044128,-0.000921249,0.002403259,0,
00:00.2,-0.003044128,-0.000921249,0.002397537,0,
00:00.2,-0.003038406,-0.000921249,0.002391815,0,
00:00.2,-0.003044128,-0.000921249,0.002397537,0,
00:00.2,-0.003038406,-0.000921249,0.002403259,0,
00:00.2,-0.003044128,-0.000926971,0.002397537,0,
00:00.2,-0.003044128,-0.000921249,0.002408981,0,
00:00.2,-0.003038406,-0.000921249,0.002414703,0,
00:00.2,-0.003038406,-0.000921249,0.002403259,0,
00:00.2,-0.003032684,-0.000921249,0.002397537,0,
00:00.2,-0.003038406,-0.000921249,0.002403259,0,
00:00.2,-0.003032684,-0.000926971,0.002403259,0,
00:00.2,-0.003032684,-0.000926971,0.002414703,0,
00:00.2,-0.003038406,-0.000926971,0.002414703,0,
00:00.3,-0.003038406,-0.000921249,0.002408981,0,
00:00.3,-0.003032684,-0.000921249,0.002403259,0,
00:00.3,-0.003032684,-0.000915527,0.002408981,0,
00:00.3,-0.003026962,-0.000921249,0.002403259,0,
00:00.3,-0.003032684,-0.000926971,0.002408981,0,
00:00.3,-0.003032684,-0.000926971,0.002414703,0,
00:00.3,-0.003032684,-0.000921249,0.002403259,0,
00:00.3,-0.003032684,-0.000921249,0.002408981,0,
00:00.3,-0.003032684,-0.000921249,0.002408981,0,
00:00.3,-0.003026962,-0.000921249,0.002403259,0,
00:00.3,-0.003026962,-0.000921249,0.002403259,0,
00:00.3,-0.003026962,-0.000921249,0.002414703,0,
00:00.3,-0.003026962,-0.000921249,0.002403259,0,
00:00.3,-0.003026962,-0.000926971,0.002414703,0,
00:00.3,-0.003026962,-0.000926971,0.002420425,0,
00:00.3,-0.003026962,-0.000921249,0.002420425,0,
00:00.3,-0.003026962,-0.000921249,0.002414703,0,
00:00.3,-0.003026962,-0.000921249,0.002408981,0,
00:00.3,-0.003026962,-0.000921249,0.002414703,0,
