Elapsed_Time,EMG1,EMG2,EMG3,BioRadio Event,Unnamed: 5
00:00:00,-0.002305984,0.000263214,0.004875183,0,
00:00.0,-0.002311707,0.000228882,0.004880905,0,
00:00.0,-0.002311707,0.000268936,0.004869461,0,
00:00.0,-0.002300262,0.000297546,0.004869461,0,
00:00.0,-0.002288818,0.000297546,0.004869461,0,
00:00.0,-0.002283096,0.000303268,0.004869461,0,
00:00.0,-0.002317429,0.000268936,0.004875183,0,
00:00.0,-0.002305984,0.000297546,0.004875183,0,
00:00.0,-0.002300262,0.000297546,0.004875183,0,
00:00.0,-0.002300262,0.00028038,0.004863739,0,
00:00.0,-0.00229454,0.000286102,0.004863739,0,
00:00.0,-0.00229454,0.000297546,0.004869461,0,
00:00.0,-0.002300262,0.000303268,0.004875183,0,
00:00.1,-0.002311707,0.000268936,0.004869461,0,
00:00.1,-0.002311707,0.00025177,0.004875183,0,
00:00.1,-0.002305984,0.000263214,0.004880905,0,
00:00.1,-0.002288818,0.000314713,0.004886627,0,
00:00.1,-0.002300262,0.000303268,0.004863739,0,
00:00.1,-0.002300262,0.000286102,0.004869461,0,
00:00.1,-0.002300262,0.000297546,0.004875183,0,
00:00.1,-0.00229454,0.00028038,0.004875183,0,
00:00.1,-0.00229454,0.000274658,0.004863739,0,
00:00.1,-0.00229454,0.00028038,0.004869461,0,
00:00.1,-0.002305984,0.000263214,0.004869461,0,
00:00.1,-0.002300262,0.000268936,0.004875183,0,
00:00.1,-0.002300262,0.000291824,0.004869461,0,
00:00.1,-0.00229454,0.000303268,0.004869461,0,
00:00.1,-0.002305984,0.00025177,0.004875183,0,
00:00.1,-0.002311707,0.00025177,0.004869461,0,
00:00.1,-0.002300262,0.00028038,0.004869461,0,
00:00.1,-0.00229454,0.000303268,0.004869461,0,
00:00.1,-0.002300262,0.000291824,0.004863739,0,
00:00.1,-0.002288818,0.000297546,0.004875183,0,
00:00.1,-0.002283096,0.000291824,0.004880905,0,
00:00.1,-0.002300262,0.000263214,0.004863739,0,
00:00.1,-0.002311707,0.000246048,0.004869461,0,
00:00.1,-0.002311707,0.00028038,0.004869461,0,
00:00.1,-0.00229454,0.000303268,0.004863739,0,
00:00.2,-0.002283096,0.000286102,0.004869461,0,
00:00.2,-0.002288818,0.000240326,0.004858017,0,
00:00.2,-0.002305984,0.000240326,0.004869461,0,
00:00.2,-0.002305984,0.00028038,0.004880905,0,
00:00.2,-0.002300262,0.000291824,0.004869461,0,
00:00.2,-0.00229454,0.000291824,0.004880905,0,
00:00.2,-0.002300262,0.000274658,0.004875183,0,
00:00.2,-0.002300262,0.000263214,0.004863739,0,
00:00.2,-0.002305984,0.000257492,0.004863739,0,
00:00.2,-0.002300262,0.000263214,0.004863739,0,
00:00.2,-0.002283096,0.000303268,0.004880905,0,
00:00.2,-0.00229454,0.00028038,0.004869461,0,
00:00.2,-0.002300262,0.00028038,0.004863739,0,
00:00.2,-0.00229454,0.00028038,0.004869461,0,
00:00.2,-0.002300262,0.000263214,0.004875183,0,
00:00.2,-0.002288818,0.000263214,0.004869461,0,
00:00.2,-0.002288818,0.000274658,0.004852295,0,
00:00.2,-0.002300262,0.000274658,0.004863739,0,
00:00.2,-0.002311707,0.00025177,0.004869461,0,
00:00.2,-0.00229454,0.000274658,0.004880905,0,
00:00.2,-0.002300262,0.000274658,0.004875183,0,
00:00.2,-0.002300262,0.000274658,0.004858017,0,
00:00.2,-0.002300262,0.000274658,0.004869461,0,
00:00.2,-0.002305984,0.000246048,0.004869461,0,
00:00.2,-0.002305984,0.00025177,0.004863739,0,
00:00.3,-0.002283096,0.000274658,0.004852295,0,
00:00.3,-0.002260208,0.000326157,0.004875183,0,
00:00.3,-0.00229454,0.000297546,0.004880905,0,
00:00.3,-0.002323151,0.00025177,0.004863739,0,
00:00.3,-0.002311707,0.000246048,0.004858017,0,
00:00.3,-0.002305984,0.000240326,0.004863739,0,
00:00.3,-0.002311707,0.000246048,0.004869461,0,
00:00.3,-0.002300262,0.00028038,0.004869461,0,
00:00.3,-0.002305984,0.000274658,0.004863739,0,
00:00.3,-0.002305984,0.000274658,0.004863739,0,
00:00.3,-0.002300262,0.000263214,0.004863739,0,
00:00.3,-0.002300262,0.000257492,0.004863739,0,
00:00.3,-0.002300262,0.000274658,0.004858017,0,
00:00.3,-0.00229454,0.000274658,0.004858017,0,
00:00.3,-0.00229454,0.000274658,0.004863739,0,
00:00.3,-0.002288818,0.000274658,0.004852295,0,
00:00.3,-0.002283096,0.00028038,0.004852295,0,
00:00.3,-0.002288818,0.000297546,0.004863739,0,
00:00.3,-0.002311707,0.000268936,0.004858017,0,
00:00.3,-0.002311707,0.000257492,0.004869461,0,
00:00.3,-0.00229454,0.000263214,0.004880905,0,
00:00.3,-0.002300262,0.000268936,0.004869461,0,
00:00.3,-0.002311707,0.000234604,0.004863739,0,
00:00.3,-0.002317429,0.000217438,0.004863739,0,
00:00.3,-0.002311707,0.000257492,0.004858017,0,
00:00.4,-0.002300262,0.000274658,0.004863739,0,
00:00.4,-0.00229454,0.00028038,0.004863739,0,
00:00.4,-0.002300262,0.000274658,0.004858017,0,
00:00.4,-0.002300262,0.000274658,0.004852295,0,
00:00.4,-0.002300262,0.000268936,0.004858017,0,
00:00.4,-0.002300262,0.000257492,0.004858017,0,
00:00.4,-0.00229454,0.000257492,0.004858017,0,
00:00.4,-0.00229454,0.000274658,0.004863739,0,
00:00.4,-0.002300262,0.000286102,0.004858017,0,
00:00.4,-0.002283096,0.000286102,0.004840851,0,
00:00.4,-0.00229454,0.000263214,0.004846573,0,
00:00.4,-0.002317429,0.000246048,0.004863739,0,
00:00.4,-0.002305984,0.00025177,0.004875183,0,
00:00.4,-0.002305984,0.000240326,0.004863739,0,
00:00.4,-0.002305984,0.00025177,0.004858017,0,
00:00.4,-0.002300262,0.000257492,0.004858017,0,
00:00.4,-0.002300262,0.000268936,0.004858017,0,
00:00.4,-0.002300262,0.000268936,0.004858017,0,
00:00.4,-0.002300262,0.000246048,0.004852295,0,
00:00.4,-0.00229454,0.000240326,0.004846573,0,
00:00.4,-0.002300262,0.000268936,0.004858017,0,
00:00.4,-0.00229454,0.000286102,0.004863739,0,
00:00.4,-0.002288818,0.000286102,0.004863739,0,
00:00.4,-0.00229454,0.000268936,0.004852295,0,
00:00.4,-0.002300262,0.000268936,0.004852295,0,
00:00.5,-0.002305984,0.00025177,0.004858017,0,
00:00.5,-0.00229454,0.000234604,0.004858017,0,
00:00.5,-0.00229454,0.000217438,0.004852295,0,
00:00.5,-0.002311707,0.000240326,0.004829407,0,
00:00.5,-0.00229454,0.00030899,0.004858017,0,
00:00.5,-0.00229454,0.000274658,0.004863739,0,
00:00.5,-0.002305984,0.00025177,0.004863739,0,
00:00.5,-0.002300262,0.000263214,0.004863739,0,
00:00.5,-0.00229454,0.000274658,0.004863739,0,
00:00.5,-0.00229454,0.000263214,0.004858017,0,
00:00.5,-0.002300262,0.000268936,0.004852295,0,
00:00.5,-0.002305984,0.000240326,0.004846573,0,
00:00.5,-0.00229454,0.000246048,0.004840851,0,
00:00.5,-0.002277374,0.000291824,0.004840851,0,
00:00.5,-0.00229454,0.000268936,0.004858017,0,
00:00.5,-0.002311707,0.000246048,0.004869461,0,
00:00.5,-0.002300262,0.00025177,0.004858017,0,
00:00.5,-0.00229454,0.000257492,0.004846573,0,
00:00.5,-0.00229454,0.000263214,0.004846573,0,
00:00.5,-0.002300262,0.000246048,0.004852295,0,
00:00.5,-0.002300262,0.00025177,0.004858017,0,
00:00.5,-0.00229454,0.000257492,0.004858017,0,
00:00.5,-0.002300262,0.000234604,0.004846573,0,
00:00.5,-0.002305984,0.000217438,0.004846573,0,
00:00.5,-0.002300262,0.000263214,0.004858017,0,
00:00.6,-0.00229454,0.00028038,0.004840851,0,
00:00.6,-0.002283096,0.000286102,0.004835129,0,
00:00.6,-0.002283096,0.000286102,0.004840851,0,
00:00.6,-0.002305984,0.000240326,0.004852295,0,
00:00.6,-0.002311707,0.000240326,0.004863739,0,
00:00.6,-0.002300262,0.000257492,0.004852295,0,
00:00.6,-0.002300262,0.000257492,0.004858017,0,
00:00.6,-0.002305984,0.000240326,0.004852295,0,
00:00.6,-0.002305984,0.000240326,0.004852295,0,
00:00.6,-0.002305984,0.000240326,0.004846573,0,
00:00.6,-0.00229454,0.000257492,0.004852295,0,
00:00.6,-0.002283096,0.000268936,0.004835129,0,
00:00.6,-0.002271652,0.000297546,0.004846573,0,
00:00.6,-0.002283096,0.00028038,0.004840851,0,
00:00.6,-0.00229454,0.000263214,0.004840851,0,
00:00.6,-0.002305984,0.000246048,0.004840851,0,
00:00.6,-0.002311707,0.000234604,0.004846573,0,
00:00.6,-0.002305984,0.000240326,0.004846573,0,
00:00.6,-0.002300262,0.000257492,0.004852295,0,
00:00.6,-0.002300262,0.000257492,0.004846573,0,
00:00.6,-0.002300262,0.000257492,0.004846573,0,
00:00.6,-0.00229454,0.000268936,0.004846573,0,
00:00.6,-0.002288818,0.000274658,0.004846573,0,
00:00.6,-0.002305984,0.000240326,0.004852295,0,
00:00.6,-0.002311707,0.000228882,0.004840851,0,
00:00.7,-0.002305984,0.000240326,0.004840851,0,
00:00.7,-0.002305984,0.000246048,0.004852295,0,
00:00.7,-0.002300262,0.000246048,0.004846573,0,
00:00.7,-0.00229454,0.000246048,0.004840851,0,
00:00.7,-0.00229454,0.000240326,0.004823685,0,
00:00.7,-0.002283096,0.000246048,0.004846573,0,
00:00.7,-0.002288818,0.000286102,0.004852295,0,
